的,dyiex,5/|.的..
笥,syeis,4/-..笥.
衩,chvhav,3\~..衩.
姣,jryiao,1~/.娇.姣.
斫,zowhuoz,2-/..斫.
鹗,eirs,4|~.遏鄂.颚鹗.顎鶚
腎,seihens,4-|.甚.椹.腎
爻,ywhaoz,2/\.遥.肴爻繇.飖餆餚颻
猕,myriz,2/~..猕.
晗,huvanz,2|~..晗.
铩,swoha,1/-..铩.
窕,thhiaov,3\\..窕.
仨,swua,1/|..仨.
搡,souangv,3-|..搡.
崴,wuvaiv,3|~..崴.
酢,zouuos,4-|..酢.蓙
檄,xeiiz,2-|.檄.觋.騽蓆薂
佞,nyiings,4/|..佞.
孑,jriiez,2~|..孑.
璀,coouiv,3--..璀.
岷,mirinz,2|~..岷.盿賯
舛,cwvhuanv,3/~..舛.
邕,yvvong,1~~..邕.
闿,khuaiv,3\|...闿
铂,bwooz,2/-.箔铂.钹.镈穛
霁,jehis,4-\..霁.
犒,kwoaos,4/-.靠.铐犒.
馏,lyriuz,2/~.留馏.遛.鰡飗飀鹠
阈,yhuus,4\|..阈.
麋,mheiz,2\-.靡糜.麋縻.詸
麒,qheiz,2\-.齐旗.麒.齊麡竒
苁,couong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
摁,eeins,4-|..摁.
涔,chhenz,2\\..涔.
宥,yhhous,4\\..宥.
妍,yvwanz,2~/..妍.
铤,dyeings,4/-.锭.铤.
锷,eyes,4/-..锷.
嗲,diriav,3|~..嗲.
恽,yhhuns,4\\..愠恽.
麂,jheiv,3\-..麂.
赝,yowans,4-/.厌雁砚.赝餍.顑饜贋
胛,jyriav,3/~..胛.
哂,sirhenv,3|~..哂.瞫
撷,xeiiez,2-|.协鞋携.撷.
呶,nuvaoz,2|~..呶蛲.蟯
噘,juvue,1|~..噘.
懔,lhhinv,3\\..懔.
栎,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
桎,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
霰,xehians,4-\..霰.
飨,xrriangv,3~~..飨.響
揄,youuz,2-|.榆.揄萸.荢
噔,direng,1|~.蹬.噔.
娣,dryis,4~/..娣.
薏,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
忝,teeianv,3--..忝.
咤,zuvhas,4|~..蚱咤吒.
嗵,tuvong,1|~..嗵.
迤,yyeiz,2/-.移.迤.簃箷
贲,beien,1-|..贲.賁
胪,lwvuz,2/~..鲈胪.臚
鍪,mvhouz,2~\.牟.鍪.鴾鞪
泸,lhhuz,2\\..泸.
蔫,neiian,1-|.拈蔫..
刈,yyhis,4/\..刈.鎰饐鐿
僖,xyii,1/|.息.僖鼷.
咿,yiri,1|~..噫咿黟.蛜
鹌,aown,1-/..鹌.鵪
嗪,qirinz,2|~..噙嗪螓.蠄
茏,louongz,2-|..茏栊.
茯,fouuz,2-|.扶拂.芙苻茯菔莩桴.葍輻
岫,xirius,4|~.嗅.岫.螑
嵘,ruvongz,2|~..嵘蝾.
轱,govu,1-~..轱.
怼,dvhuis,4~\.对.怼.
铨,qwouanz,2/-..铨筌.
昕,xirin,1|~..昕.
郢,yiringv,3|~.影.郢.
咩,mirie,1|~..咩.
馊,swvou,1/~..飕馊.颼
髡,kouun,1-|.坤.髡醌.髠
澧,lhhiv,3\\..澧.
苣,jouus,4-|.据聚拒.苣醵.
濯,zhhhuoz,2\\.浊.濯浞.
盥,gwuuans,4/|..盥.
囡,nuvan,1|~..囡.
砺,leyis,4-/.历厉励砾.砺.磿
佘,syhhez,2/\..佘.
谶,chrhens,4\~.衬.谶.
弑,syhhis,4/\.释.弑.釋鉃鈰飾
楂,couhaz,2-|.查茶茬搽.楂槎檫.
翦,jhyianv,3\/.剪.翦.
怩,nhhiz,2\\.泥.怩.
蠼,quvuz,2|~..蠼氍.跼蠷
霏,fehei,1-\..霏.
楹,yeiingz,2-|.营莹荧萤.萦楹茔蓥.藀
讴,ohvu,1\~..讴.
锲,qyeies,4/-..锲箧.稧
慵,yhhong,1\\..慵.
胝,zyrhi,1/~.脂肢.胝.鴲胑
砭,beyian,1-/..砭.
潍,whheiz,2\\.惟潍.涠沩.
杵,couhuv,3-|.楚.杵楮.
樾,youues,4-|.越.樾.趯軏
帼,guvuoz,2|~.国.帼.
碣,jeyiez,2-/..碣.
诌,zhvhou,1\~.诌..诪
徕,lwwaiz,2//..徕.
胴,dwvongs,4/~..胴胨.
钴,gwouv,3/-..鹄钴牯.
裟,shhha,1\\.沙.鲨裟.鯊
啶,dirings,4|~..啶.
铣,xyeiv,3/-.铣..
铱,yyei,1/-.铱..
楫,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
赭,zeihev,3-|.者.赭.
碛,qeyis,4-/.砌.碛.碶磜磩
酊,deiingv,3-|.顶.酊.頂艼
魑,cyihi,1/|..魑.
醛,qouuanz,2-|.权颧醛.荃鬈.葲顴
剐,guvuav,3|~.剐..
畦,qiriz,2|~.崎畦.岐蛴蜞.跂蚑螧
陂,briei,1~|..陂.
闶,khuang,1\|..闶.
阄,jhiiu,1\|..阄.
祚,zhvuos,4\~..祚.
鹘,guvuv,3|~.骨蛊.鹘罟.
泱,yhhang,1\\..泱.
趄,jouu,1-|.拘鞠.掬趄鞫苴椐.
骅,hvvuaz,2~~..骅.
陲,cvuhuiz,2~|..陲.
郧,yuvunz,2|~.郧.昀.眃
倜,tyiis,4/|..倜.
呤,liringz,2|~..蛉呤囹.跉
燧,shwuis,4\/.遂.燧.
铉,xwouans,4/-..铉镟.
粲,cuoans,4|-..粲.
骶,diriv,3|~..骶.
峁,muvaov,3|~..峁昴.
忸,nhhiuv,3\\..忸.
渌,lhhus,4\\.潞.漉渌.
骞,qhhian,1\\..骞悭褰搴.騫
髭,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
戡,kouan,1-|.堪勘.戡.
钨,wwou,1/-.钨..
谲,jhvuez,2\~.诀.谲.
苋,xeiians,4-|.献.苋.軐
锃,zyeengs,4/-..锃.
蜊,liriz,2|~..罹蜊喱.
幄,wuvos,4|~..幄.
闼,thuas,4\|..闼.阘
戕,qriiang,1~|..戕.
骊,lrriz,2~~..蠡骊缡.盠
虢,gwhuoz,2/\..虢.
烩,hhwuis,4\/.烩..
傥,twuangv,3/|.躺倘.傥.
妲,dvwaz,2~/..妲.
绌,cvvhus,4~~..绌.
桠,youa,1-|.押.桠垭.
袈,jryia,1~/.加.迦袈.
鎗,qyhiang,1/\..戗.鎗錆鏘鸧
薮,sououv,3-|.擞.薮.
揿,qeiins,4-|..揿.菣
杲,guvaov,3|~..杲.
肓,hhouang,1\-..肓.
厝,cowuos,4-/..厝.
莅,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
氤,yyein,1/-..氤铟.秵
缙,jrrins,4~~..缙.
衮,ghounv,3\-..衮.袞
诟,ghvous,4\~..诟.
旖,yheiv,3\-..旖.
硒,xeyi,1-/.硒矽..豨礂
唁,yuvans,4|~.咽唁.晏.鷃艶
嬗,svwhans,4~/..嬗.
硎,xeyingz,2-/..硎.
裱,bhriaov,3\~..裱.
颦,pieinz,2|-.频.颦.頻
質,zyyhis,4//.质..質
靥,yeyes,4-/.页.靥.頁
纥,grre,1~~..纥.紇
煨,whyei,1\/..煨.
礴,bowoz,2-/..礴.礡
鏖,ahooz,2\-..鏖廒.
蝈,guvuo,1|~..蝈崞呙.
笏,hwous,4/-..笏.穫
羿,yrhis,4~\.翼翌.羿.
鼐,nvwais,4~/..鼐.
湟,hhhuangz,2\\.惶.潢湟.
甑,zhyengs,4\/..甑.
炜,whyeiv,3\/..炜.
煲,bwuao,1/|..煲.
锉,cwouos,4/-.错.锉.
笕,jyeianv,3/-.简.锏笕.簡
喑,yirin,1|~.因.喑.闉
嶂,zuvhangs,4|~.帐账.嶂幛.瞕
浔,xhhunz,2\\..洵浔恂.
弭,mreiv,3~-..弭.
妪,yvwus,4~/..妪.
锂,lyeiv,3/-..锂.
苡,yeiiv,3-|.椅.苡.
孳,zhyi,1\/.兹.孳.
颏,khee,1\-..颏疴.頦
醴,leiiv,3-|.李.醴逦.
間,jirian,1|~...間閒
渚,zhhhuv,3\\..渚.
轭,eers,4-~..轭.
鹬,yvhus,4~\.预豫.鹬.預遹矞翑
蚝,huvaoz,2|~.嚎.嗥蚝.蠔
黃,houuangz,2-|.黄..黃葟
膘,byriao,1/~.膘.飚飑.臕脿
邛,qeiiongz,2-|..邛蛩跫茕.蛬藑赹
痨,lhoaoz,2\-..痨.
褡,dhva,1\~..褡.
耦,ooouv,3--..耦.
覃,touanz,2-|.坛檀.覃.醰藫蕁
虛,xuou,1|-.虚..虛虗
馔,zwvhuans,4/~..馔.
篾,myeies,4/-..篾.
兖,yhoanv,3\-..兖.
阋,xhiis,4\|..阋.
遨,aoooz,2--.熬敖.鳌遨螯獒聱.鰲鼇
爰,ywhuanz,2/\..爰.鈨鶢
痂,jheia,1\-..痂.麚
艄,swwhao,1//..艄.
耨,nooous,4--..耨.
沤,ohhu,1\\.沤..
邋,lvva,1~~..邋.
焓,hhwanz,2\/..焓.
秣,mwoos,4/-..秣镆.
昶,chvhangv,3\~..昶.
種,zwohongv,3/-.种..種
變,bheians,4\-.变辩辨辫卞..變辯
窣,shhu,1\\...窣
绦,tvvao,1~~.绦..縚縧
俎,zwhuv,3/\..俎.
榫,souunv,3-|.损.榫.
蟪,huvuis,4|~.贿晦.喙蟪.翙賄
稗,bwoais,4/-.拜稗..
謇,jhhianv,3\\..謇蹇.
氩,ywoas,4/-..氩.
類,lhyeis,4\/.类..類
锴,kwoaiv,3/-..铠锴.
龉,yuouv,3|-..龉.
烃,thying,1\/.烃..
俣,ywuuv,3/|.禹.俣伛.與
嬷,mvwa,1~/.妈.嬷.
肱,gwvong,1/~..觥肱.魟
鸢,yovuan,1-~..鸢.鳶
笫,zyeiv,3/-..笫秭.
痤,chouoz,2\-..痤.
陰,yriin,1~|.阴..陰陻
菏,heiez,2-|.核荷菏.盍翮.鞨麧覈
莆,pouuz,2-|.葡菩蒲莆..酺
芨,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
阕,qhuues,4\|..阕.
砣,towuoz,2-/..砣.砤
碜,ceyhenv,3-/..碜.磣
鼹,ywuanv,3/|..俨偃鼹.
長,couhangz,2-|..苌.長
猷,yhwouz,2\/..猷.
竽,ywouz,2/-..竽.
舸,gyyev,3//..舸.
诓,khvuang,1\~..诓.
錾,zovans,4-~.暂.錾.
淬,chhuis,4\\.淬.悴.
隗,wrieiv,3~|..隗.
悌,thhis,4\\.惕涕.悌.
姘,pryin,1~/..姘.
槭,qeiis,4-|..槭葺.鼜
邈,myhiaov,3/\..邈.
婕,jryiez,2~/..婕.
歙,syhhes,4/\.舍.歙.
稹,zyehenv,3/-..稹.
蹴,cuvus,4|~..蹴.
砒,peyi,1-/.砒.丕邳.
痈,yhoong,1\-.庸雍痈.饔壅.鄘
镏,lyeiuz,2/-..镏.
羯,jhyiez,2\/..羯.
豕,seyhiv,3-/..豕.
鲂,fwvangz,2/~.肪.鲂.
蓖,beiis,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
匦,goouiv,3--..匦.
笤,tyeiaoz,2/-..笤.
峥,zirheng,1|~.睁.峥.
徭,ywwaoz,2//..徭.
浃,jhhia,1\\.家.浃.
烊,yhwangz,2\/.羊.炀烊.鴹
補,bhvuv,3\~.补..補
窸,xhhi,1\\.惜溪汐.淅浠穸.窸鸂
酆,fieeng,1|-..酆.豐
缢,yrris,4~~.绎.驿缢.絏
褓,bhvaov,3\~..褓.
蚨,fuvuz,2|~.幅.蝠蚨罘蜉幞.
翳,yeyis,4-/..翳殪.豷贀
趔,leiies,4-|..趔鬣捩.鬛茢
炔,ghwuis,4\/.炔..
誊,thyengz,2\/.誊..
赜,zeiez,2-|.择.赜.
仃,dyiing,1/|..仃.
勖,xuvus,4|~..煦勖.盢
葺,qeiis,4-|..槭葺.鼜
蚴,yuvous,4|~..囿蚴.
泷,lhhongz,2\\.窿.泷.
蛴,qiriz,2|~.崎畦.岐蛴蜞.跂蚑螧
結,jrriez,2~~.结..結
媸,cryhi,1~/..媸.
俳,pwuaiz,2/|.牌.俳.
诖,ghvuas,4\~.褂.诖.
茑,neiiaov,3-|..茑.蔦
逡,qvhun,1~\..逡.
孱,cvoans,4~-..孱.
砦,zuohais,4|-..砦.
跸,biris,4|~..跸哔畀睥髀.閉閟蜌罼赑
祜,hhvus,4\~.户.扈祜戽.
伉,kwuangs,4/|..伉.
溴,xhhius,4\\..溴.
屐,jrei,1~-..屐.
飚,byriao,1/~.膘.飚飑.臕脿
蛞,kuvuos,4|~..蛞.闊
鏡,jyhings,4/\...鏡
掮,qeiianz,2-|.乾.荨掮.葴軡
崆,kuvong,1|~..崆.
庾,yhouv,3\-..庾瘐.語
橛,jouuez,2-|.掘抉攫.蕨橛桷.蕝芵
矸,gowan,1-/..尴矸.
鸨,bwvaov,3/~.饱.鸨.
圻,qeiiz,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
缂,krres,4~~..缂骒.
蒯,kouuaiv,3-|..蒯.
诹,zhvou,1\~..诹.
啭,zuvhuans,4|~.赚.啭.
饧,twvangz,2/~.膛.饧.
镉,gyeez,2/-..镉搿.
鸪,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
蛩,qeiiongz,2-|..邛蛩跫茕.蛬藑赹
蠖,huvuos,4|~..蠖嚯.
說,shohuo,1\-...說
劭,svwhaos,4~/.邵.劭.
哐,kuvuang,1|~..哐.
崧,suvong,1|~..嵩崧.
杼,zouhus,4-|.著柱.杼苎翥.苧駐
棂,leiingz,2-|.菱.聆苓棂柃.醽
螫,seihis,4-|.事世士势誓逝拭柿.螫贳.
龃,juouv,3|-..龃.
饔,yhoong,1\-.庸雍痈.饔壅.鄘
遑,hwuuangz,2/|.皇.遑.
颢,huvaos,4|~.号.昊颢.號
腱,jyrians,4/~.饯.腱.
襁,qhriangv,3\~..襁.
忾,khhais,4\\..忾.
濠,hhhaoz,2\\..濠.
牝,pyeins,4/-..牝.
蛄,guvu,1|~.咕.呱蛄.
鲆,pyringz,2/~..鲆.
嗄,auvz,2|~..嗄.
灏,hhhaos,4\\.浩.灏.
疥,jheies,4\-.疥..誡
苜,mouus,4-|.木幕墓慕募暮.苜.
荞,qeiiaoz,2-|.桥.樵荞鞒.菬藮
嘣,bireng,1|~.崩.嘣.
夤,yyrinz,2/~..夤狺.
砝,fowav,3-/..砝.
颞,neiies,4-|.聂孽.颞蘖.菍糵顳苶聶
開,kuvai,1|~...開
忤,whhuv,3\\..忤怃.
遢,tuva,1|~..遢趿.
旎,nheiv,3\-..旎.
瘛,chehis,4\-..啻瘛.
魉,lyiiangv,3/|..魉.
辇,neeianv,3--..辇.輦
見,jirians,4|~.见践贱.踺.見踐瞷
瓤,rhoangz,2\-.瓤..
荥,xeiingz,2-|..荥.
涫,ghhuans,4\\.惯灌.涫.
娌,lryiv,3~/..娌.
氚,cwohuan,1/-..氚.
臁,lyrianz,2/~..臁鲢.
毂,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
碇,deyings,4-/..碇.碠磸
毖,beris,4-~.毕毙毖..
壅,yhoong,1\-.庸雍痈.饔壅.鄘
吡,biriv,3|~.鄙.吡.
缛,rvvus,4~~..缛.
玮,weeeiv,3--..玮.
羟,qhyiangv,3\/..羟.
還,huvaiz,2|~.骸..還
珈,jeeia,1--..珈.
颀,qyyiz,2//..颀.艩
虼,gires,4|~..虼.
祇,qhriz,2\~.祈祁.祺.祇禥
佝,gwuou,1/|..佝.
翕,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
遴,lhyinz,2\/..粼遴.鄰粦
珏,joouez,2--..珏.
郛,fwhuz,2/\..孚郛.
較,jeiiaos,4-|.酵.醮.較轎藠
驗,youans,4-|.燕堰.酽.驗醼
玖,jeeiuv,3--.玖..
蹇,jhhianv,3\\..謇蹇.
逋,bouu,1-|..逋.鵏
氅,cuhhangv,3|\.敞.氅.
粽,zhwongs,4\/..粽.糉
诂,ghvuv,3\~..诂.
岢,kirev,3|~..岢.
聒,gouuo,1-|..聒埚.
髁,kire,1|~.颗.瞌蝌嗑髁.顆趷
黍,swohuv,3/-.黍..籔
芾,feieis,4-|..芾.蕡髴
淝,fhheiz,2\\..淝.
鲎,hhhous,4\\..鲎.
鞣,rououz,2-|.揉.鞣.葇
髋,kuvuan,1|~..髋.
闳,hhuongz,2\|..闳.
潆,yhhingz,2\\..瀛滢潆.
汨,mhhis,4\\.密蜜.宓汨.
胍,gwvua,1/~..胍.
阏,ehis,4\|..阏.
钤,qyeianz,2/-.钱钳.钤箝.
鹜,wvhus,4~\..骛鹜婺.鶩
鬈,qouuanz,2-|.权颧醛.荃鬈.葲顴
铵,awonv,3/-..铵.
戬,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
點,dirianv,3|~.典.踮.點
崮,guvus,4|~.固.崮.
枰,peiingz,2-|.萍苹坪.枰.聠蓱
樯,qeiiangz,2-|.墙蔷.樯.薔
脍,kwvuais,4/~..脍狯.鲙
畲,syhhe,1/\..畲.
衾,qyhin,1/\..衾.
蹼,puvuv,3|~.圃.蹼.
題,tiriz,2|~.题蹄啼..題鶗
劬,qwvuz,2/~..劬朐鸲.臒胊臞
咭,jiri,1|~.畸.叽羁唧跻咭.踦羇羈
囫,huvuz,2|~.蝴.囫.
洱,ehhrv,3\\.洱..
刎,wyrenv,3/~..刎.脗
芏,douus,4-|.杜.蠹芏.
琊,yooaz,2--..琊.
碚,beyeis,4-/..碚.
鳕,xwvuev,3/~..鳕.
谪,zhrhez,2\~..谪.袩
芎,xeiiong,1-|..芎.
恂,xhhunz,2\\..洵浔恂.
槿,jeiinv,3-|..槿堇.緊菫蓳
鲢,lyrianz,2/~..臁鲢.
鲧,gwvunv,3/~..鲧.鮌鯀
嘧,miris,4|~..嘧.
绀,gvvans,4~~..绀.紺
郦,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
噱,juvuez,2|~.嚼.崛蹶噱矍.躩
浠,xhhi,1\\.惜溪汐.淅浠穸.窸鸂
潸,shhhan,1\\..潸.
跏,jiria,1|~..跏.
鲶,nyrianz,2/~..鲇鲶.鮎
矍,juvuez,2|~.嚼.崛蹶噱矍.躩
苌,couhangz,2-|..苌.長
抻,ceihen,1-|.郴.抻.
琰,yooanv,3--..琰.
鹚,chyiz,2\/.慈.鹚糍.
龆,tieiaoz,2|-..龆.
臬,nyiies,4/|..臬.
芄,wouanz,2-|..芄.
呔,tuvaiv,3|~..呔.
雒,lwvuos,4/~..雒.
觞,swvhang,1/~..觞.
钒,fwoanz,2/-.繁钒..緐笲
饫,ywvus,4/~.狱.饫.
阒,qhuus,4\|..阒.
槎,couhaz,2-|.查茶茬搽.楂槎檫.
鸩,zhrhens,4\~..鸩.
舂,coohong,1--..舂.
谠,dhvangv,3\~..谠.
阡,qriian,1~|..阡.
莒,jouuv,3-|..榉莒.蒟
萸,youuz,2-|.榆.揄萸.荢
妗,jryins,4~/..妗.
稔,ryeenv,3/-..稔.秹
穰,rwoangz,2/-..穰.
蚧,jiries,4|~.界.蚧骱.蛶
餍,yowans,4-/.厌雁砚.赝餍.顑饜贋
谯,qhriaoz,2\~..谯.
芗,xeiiang,1-|.相.芗葙.蘘
菸,youan,1-|.焉.菸鄢.醃
葩,poua,1-|..葩.
踔,cuvhuo,1|~..踔.
厣,yowanv,3-/..魇厣.黡黶
佻,tyiiao,1/|..佻.
嘌,piriaos,4|~..嘌.
饩,xyris,4/~.系.饩.
钏,cwohuans,4/-..钏.
蠓,mirengv,3|~..蠓蜢.矇
黩,duvuz,2|~..黩髑.
倨,jwuus,4/|.俱.倨.
腸,cwvhangz,2/~.肠..腸鲿
缬,xrriez,2~~..缬.綊
殚,dowan,1-/..殚.
钿,dyeians,4/-..钿簟.
鎏,lhhiuz,2\\.流.浏鎏.
恁,nyiinz,2/|.您.恁.
藿,houuos,4-|.或获惑.藿.
囟,xyiins,4/|.信衅.囟.舋
鄣,zhohang,1\-.章彰.鄣.麞
呋,fuvu,1|~..趺呋跗.
婺,wvhus,4~\..骛鹜婺.鶩
绱,svvhangs,4~~..绱.
瓯,oowu,1-/.欧殴鸥.瓯.
旃,zhohan,1\-..旃.鹯邅譫鸇詀
锶,syei,1/-.私.锶.
酩,meiingv,3-|..酩.
恹,yhhan,1\\.淹.湮恹.
逶,wyeei,1/-..逶.
缦,mvvans,4~~..缦.
鸹,gwoua,1/-.刮.鸹.鴰
螟,miringz,2|~.明鸣螟.瞑暝.鳴眳眀
菟,touuz,2-|..荼菟酴.
阗,thiianz,2\|..阗.
濉,shhui,1\\..濉.
篑,kwouis,4/-..篑.籄
醪,louaoz,2-|.劳.醪.
鲛,jyriao,1/~.胶.鲛.膠膲
讦,jhriez,2\~..诘讦.
媪,avwov,3~/..媪.
邬,wwvu,1/~.乌.邬.鰞
殇,sowhang,1-/..殇.
鄯,shwhans,4\/.善.鄯剡.
芡,qeiians,4-|..茜芡.蒨
嫠,leeiz,2--.璃.嫠.釐
肼,jyringv,3/~..肼.
峤,jiriaos,4|~.叫.峤噍.覐
矽,xeyi,1-/.硒矽..豨礂
讧,hhvongs,4\~..讧.
掼,gouuans,4-|..鹳掼.雚
焖,mhyens,4\/..焖.
愆,qyyian,1//..愆.
聩,kouuis,4-|..匮聩蒉.聭聵
岘,xirians,4|~.县.岘.県睍縣
靛,deeians,4--.靛.玷.
菖,couhang,1-|..菖.
卟,buvuv,3|~..卟.
姒,sryis,4~/..姒.
杷,pouaz,2-|..杷.
砉,hooua,1--..砉.
袢,phvans,4\~..袢襻.
蚋,ruvuis,4|~..蚋.
笳,jyeia,1/-..笳镓.筴
挈,qeeies,4--..挈.
關,guvuan,1|~...關
踽,juvuv,3|~.咀.踽.
黾,mirianv,3|~.冕.黾眄.
麼,mheex,5\-..麽.麼
侩,kwuuais,4/|.侩..
凫,fwvuz,2/~.服.匐凫.鮄
诔,lhreiv,3\~..诔.
郯,thwanz,2\/..郯.
韪,wireiv,3|~..韪.骫骩蜼
挲,shhuo,1\\..娑挲.
笪,dwoaz,2/-.答.笪.
鼋,yoouanz,2--.元.鼋.黿
莜,yououz,2-|..莜莸.輶莤蓧
風,fyreng,1/~.风..風
菅,jeiian,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
嵊,sirhengs,4|~..嵊晟.
裢,lhrianz,2\~..裢.
趿,tuva,1|~..遢趿.
箸,zwohus,4/-.筑铸.箸.築
莴,wouo,1-|.挝.莴.萵
莠,yououv,3-|.酉.莠.苃
阌,whienz,2\|.闻.阌.
旯,luvaz,2|~..旯.
圜,huvuanz,2|~..圜.鹮瞏
涪,fhhuz,2\\.浮涪..
赍,jeii,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
柞,zouhas,4-|.榨柞..醡
嗍,suvuo,1|~.唆.嗦嗍睃.
囵,luvunz,2|~..囵.
榧,feieiv,3-|.菲匪.榧.蕜
裰,dhvuo,1\~..裰.
笾,byeian,1/-..笾.箯
簟,dyeians,4/-..钿簟.
跎,tuvuoz,2|~..跎鼍.鼉
巽,xvouns,4~-.迅.巽.
曷,hirez,2|~..曷.鶡鹖
逖,tyris,4/~..逖.
骓,zvvhui,1~~..骓.
绔,kvvus,4~~..绔.
枋,fouang,1-|.芳坊.枋.
镒,yyeis,4/-..镒镱.
魃,bwuaz,2/|..魃.鼥
餮,teyies,4-/..餮.
讵,jhvus,4\~..讵.
乜,mrrie,1~~..乜.
鄢,youan,1-|.焉.菸鄢.醃
瑭,tooangz,2--..瑭.
踅,ceihis,4-|.赤翅.敕踅.趩鶒鷘
馓,swvanv,3/~..馓.
蟛,pirengz,2|~..蟛.
鳟,zwvun,1/~..鳟.
荛,rouaoz,2-|..荛桡.
菬,qeiiaoz,2-|.桥.樵荞鞒.菬藮
忪,shhong,1\\..淞忪.
阍,hhuun,1\|..阍.
姹,cvwhas,4~/..姹.
纰,prri,1~~..纰.
桉,aoun,1-|.鞍.桉.
氪,kyees,4/-..氪锞.
氘,dwoao,1/-..氘.
垅,louongv,3-|.拢.垅.
郃,xyhiaz,2/\...郃鎋
汊,chhhas,4\\..汊.
娉,prying,1~/..娉.
纡,yvvu,1~~..纡.
缟,gvvaov,3~~..缟.縞
旮,gwva,1/~..旮.
镢,jwouez,2/-..镢.穱
傈,lyiis,4/|.例俐傈.俪.
堋,peiengz,2-|.彭蓬棚.堋.芃髼鬅
蔺,leiins,4-|..蔺.藺轥
庥,xheiu,1\-..庥.
枥,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
腭,eyrs,4/~.饿.鳄腭.
鹕,houuz,2-|.胡壶葫.鹕槲觳醐.縠
笮,zyeez,2/-..笮迮箦.
髂,qirias,4|~..髂.
魍,wwuangv,3/|..魍.
缁,zrri,1~~..缁.
槊,shwhuos,4\/.烁朔.槊.
跞,liris,4|~..蛎詈跞唳呖.蠣
醚,meiiz,2-|.醚.蘼.醿蒾醾
吒,zuvhas,4|~..蚱咤吒.
枳,zeihiv,3-|.指址.酯芷枳.茝藢
搿,gyeez,2/-..镉搿.
鹧,zhehes,4\-.这.鹧.這
蜍,cuvhuz,2|~.躇.蜍蹰.
舻,lwwuz,2//..舻.艫
鏊,aooos,4--..鏊骜.驁
禳,rhvangz,2\~..禳.
蒺,jeiiz,2-|.极吉藉棘.楫蒺蕺.鞊趌
钹,bwooz,2/-.箔铂.钹.镈穛
蜢,mirengv,3|~..蠓蜢.矇
鬻,yvous,4~-..聿熨鬻肀.
珩,heeengz,2--..珩.
卮,zyyhi,1//..卮.
垭,youa,1-|.押.桠垭.
苄,beiians,4-|..苄.
苕,teiiaoz,2-|..苕髫.蓚蓨
菀,wouanv,3-|.挽.菀.輓
骠,brriao,1~~..骠.
袷,jhriaz,2\~..袷.
跹,xirian,1|~..暹跹.
瘘,lhoous,4\-..瘘.
騔,geiez,2-|.格革葛.鬲塥.騔轕
論,lhouns,4\-...論
磬,qeiings,4-|..罄磬.
缶,fwoouv,3/-..缶.缻
笸,pwoov,3/-..笸钷.
鸷,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
頭,tououz,2-|.投..頭
芰,jeiis,4-|.技蓟.髻芰荠.繫蟿繋驥
蕲,qeiiz,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
阆,lhuangz,2\|..阆.
纨,wvvanz,2~~..纨.
琮,cooongz,2--..琮.
牦,mwoaoz,2/-.毛锚.牦.
砩,feyeis,4-/..砩.
蠲,jhwuan,1\/..蠲.
锒,lwoangz,2/-..锒稂.
锕,awo,1/-..锕.
郓,yhvuns,4\~..郓.運
妯,zvwhouz,2~/..妯.
驷,srris,4~~..驷.
鹩,leyiaoz,2-/..鹩.
舢,swwhan,1//..舢.
趸,dovunv,3-~..趸.
證,zhehengs,4\-.症..證証
養,yhwangv,3\/.养..養
芫,youuanz,2-|.援袁垣.芫塬橼.薗
嗉,suvus,4|~..嗉.
蠊,lirianz,2|~..蠊.
笊,zwohaos,4/-..笊.
莸,yououz,2-|..莜莸.輶莤蓧
饴,yyriz,2/~.疑胰.饴.迻
阃,khuunv,3\|..阃.
浯,whhuz,2\\..浯.
枇,peiiz,2-|..枇鼙芘埤.
焱,yhwans,4\/.焰.焱.
铆,mwoaov,3/-.铆..
擤,xeiingv,3-|.醒.擤.
柢,deiiv,3-|.抵.柢.菧聜軧
醢,houaiv,3-|..醢.酼
呲,ciri,1|~..呲.跐
崾,yuvaov,3|~.咬.崾.闄
溆,xhhus,4\\.恤.溆洫.
