的,dehhr,5/|.的..
碜,cheend,3-/..碜.磣
鼹,yaanr,3/|..俨偃鼹.
長,cchangf,2-|..苌.長
猷,yyoui,2\/..猷.
竽,yyut,2/-..竽.
舸,geee,3//..舸.
诓,kuangp,1\~..诓.
錾,zahna,4-~.暂.錾.
淬,cuiho,4\\.淬.悴.
隗,weeib,3~|..隗.
悌,tiho,4\\.惕涕.悌.
姘,pinv,1~/..姘.
槭,qihf,4-|..槭葺.鼜
邈,miaaow,3/\..邈.
婕,jjiev,2~/..婕.
歙,shehw,4/\.舍.歙.
稹,zheent,3/-..稹.
蹴,cuhm,4|~..蹴.
砒,pid,1-/.砒.丕邳.
痈,yongy,1\-.庸雍痈.饔壅.鄘
镏,lliut,2/-..镏.
羯,jjiei,2\/..羯.
豕,shiid,3-/..豕.
鲂,ffangq,2/~.肪.鲂.
蓖,bihf,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
匦,guiig,3--..匦.
笤,ttiaot,2/-..笤.
峥,zhengm,1|~.睁.峥.
徭,yyaoe,2//..徭.
浃,jiao,1\\.家.浃.
烊,yyangi,2\/.羊.炀烊.鴹
補,buup,3\~.补..補
窸,xio,1\\.惜溪汐.淅浠穸.窸鸂
酆,fengh,1|-..酆.豐
缢,yihx,4~~.绎.驿缢.絏
褓,baaop,3\~..褓.
蚨,ffum,2|~.幅.蝠蚨罘蜉幞.
翳,yihd,4-/..翳殪.豷贀
趔,liehf,4-|..趔鬣捩.鬛茢
炔,guihi,4\/.炔..
誊,ttengi,2\/.誊..
赜,zzef,2-|.择.赜.
仃,dingr,1/|..仃.
勖,xuhm,4|~..煦勖.盢
葺,qihf,4-|..槭葺.鼜
蚴,youhm,4|~..囿蚴.
泷,llongo,2\\.窿.泷.
蛴,qqim,2|~.崎畦.岐蛴蜞.跂蚑螧
結,jjiex,2~~.结..結
媸,chiv,1~/..媸.
俳,ppair,2/|.牌.俳.
诖,guahp,4\~.褂.诖.
茑,niaaof,3-|..茑.蔦
逡,qunc,1~\..逡.
孱,cahnn,4~-..孱.
砦,zhaihh,4|-..砦.
跸,bihm,4|~..跸哔畀睥髀.閉閟蜌罼赑
祜,huhp,4\~.户.扈祜戽.
伉,kahngr,4/|..伉.
溴,xiuho,4\\..溴.
屐,jin,1~-..屐.
飚,biaoq,1/~.膘.飚飑.臕脿
蛞,kuohm,4|~..蛞.闊
鏡,jihngw,4/\...鏡
掮,qqianf,2-|.乾.荨掮.葴軡
崆,kongm,1|~..崆.
庾,yuuy,3\-..庾瘐.語
橛,jjuef,2-|.掘抉攫.蕨橛桷.蕝芵
矸,gand,1-/..尴矸.
鸨,baaoq,3/~.饱.鸨.
圻,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
缂,kehx,4~~..缂骒.
蒯,kuaaif,3-|..蒯.
诹,zoup,1\~..诹.
啭,zhuahnm,4|~.赚.啭.
饧,ttangq,2/~.膛.饧.
镉,gget,2/-..镉搿.
鸪,guf,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
蛩,qqiongf,2-|..邛蛩跫茕.蛬藑赹
蠖,huohm,4|~..蠖嚯.
說,shuoy,1\-...說
劭,shaohv,4~/.邵.劭.
哐,kuangm,1|~..哐.
崧,songm,1|~..嵩崧.
杼,zhuhf,4-|.著柱.杼苎翥.苧駐
棂,llingf,2-|.菱.聆苓棂柃.醽
螫,shihf,4-|.事世士势誓逝拭柿.螫贳.
龃,juuh,3|-..龃.
饔,yongy,1\-.庸雍痈.饔壅.鄘
遑,hhuangr,2/|.皇.遑.
颢,haohm,4|~.号.昊颢.號
腱,jiahnq,4/~.饯.腱.
襁,qiaangp,3\~..襁.
忾,kaiho,4\\..忾.
濠,hhaoo,2\\..濠.
牝,pihnt,4/-..牝.
蛄,gum,1|~.咕.呱蛄.
鲆,ppingq,2/~..鲆.
嗄,vvam,2|~..嗄.
灏,haoho,4\\.浩.灏.
疥,jiehy,4\-.疥..誡
苜,muhf,4-|.木幕墓慕募暮.苜.
荞,qqiaof,2-|.桥.樵荞鞒.菬藮
嘣,bengm,1|~.崩.嘣.
夤,yyinq,2/~..夤狺.
砝,faad,3-/..砝.
颞,niehf,4-|.聂孽.颞蘖.菍糵顳苶聶
開,kaim,1|~...開
忤,wuuo,3\\..忤怃.
遢,tam,1|~..遢趿.
旎,niiy,3\-..旎.
瘛,chihy,4\-..啻瘛.
魉,liaangr,3/|..魉.
辇,niaang,3--..辇.輦
見,jiahnm,4|~.见践贱.踺.見踐瞷
瓤,rrangy,2\-.瓤..
荥,xxingf,2-|..荥.
涫,guahno,4\\.惯灌.涫.
娌,liiv,3~/..娌.
氚,chuant,1/-..氚.
臁,llianq,2/~..臁鲢.
毂,guf,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
碇,dihngd,4-/..碇.碠磸
毖,biha,4-~.毕毙毖..
壅,yongy,1\-.庸雍痈.饔壅.鄘
吡,biim,3|~.鄙.吡.
缛,ruhx,4~~..缛.
玮,weeig,3--..玮.
羟,qiaangi,3\/..羟.
還,hhaim,2|~.骸..還
珈,jiag,1--..珈.
颀,qqie,2//..颀.艩
虼,gehm,4|~..虼.
祇,qqip,2\~.祈祁.祺.祇禥
佝,gour,1/|..佝.
翕,xiw,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
遴,llini,2\/..粼遴.鄰粦
珏,jjueg,2--..珏.
郛,ffuw,2/\..孚郛.
較,jiaohf,4-|.酵.醮.較轎藠
驗,yahnf,4-|.燕堰.酽.驗醼
玖,jiuug,3--.玖..
蹇,jiaano,3\\..謇蹇.
逋,buf,1-|..逋.鵏
氅,chaangl,3|\.敞.氅.
粽,zohngi,4\/..粽.糉
诂,guup,3\~..诂.
岢,keem,3|~..岢.
聒,guof,1-|..聒埚.
髁,kem,1|~.颗.瞌蝌嗑髁.顆趷
黍,shuut,3/-.黍..籔
芾,feihf,4-|..芾.蕡髴
淝,ffeio,2\\..淝.
鲎,houho,4\\..鲎.
鞣,rrouf,2-|.揉.鞣.葇
髋,kuanm,1|~..髋.
闳,hhongu,2\|..闳.
潆,yyingo,2\\..瀛滢潆.
汨,miho,4\\.密蜜.宓汨.
胍,guaq,1/~..胍.
阏,ehu,4\|..阏.
钤,qqiant,2/-.钱钳.钤箝.
鹜,wuhc,4~\..骛鹜婺.鶩
鬈,qquanf,2-|.权颧醛.荃鬈.葲顴
铵,aant,3/-..铵.
戬,jiaanf,3-|.检捡拣柬茧.戬枧.鬋醎
點,diaanm,3|~.典.踮.點
崮,guhm,4|~.固.崮.
枰,ppingf,2-|.萍苹坪.枰.聠蓱
樯,qqiangf,2-|.墙蔷.樯.薔
脍,kuaihq,4/~..脍狯.鲙
畲,shew,1/\..畲.
衾,qinw,1/\..衾.
蹼,puum,3|~.圃.蹼.
題,ttim,2|~.题蹄啼..題鶗
劬,qquq,2/~..劬朐鸲.臒胊臞
咭,jim,1|~.畸.叽羁唧跻咭.踦羇羈
囫,hhum,2|~.蝴.囫.
洱,eero,3\\.洱..
刎,weenq,3/~..刎.脗
芏,duhf,4-|.杜.蠹芏.
琊,yyag,2--..琊.
碚,beihd,4-/..碚.
鳕,xueeq,3/~..鳕.
谪,zzhep,2\~..谪.袩
芎,xiongf,1-|..芎.
恂,xxuno,2\\..洵浔恂.
槿,jiinf,3-|..槿堇.緊菫蓳
鲢,llianq,2/~..臁鲢.
鲧,guunq,3/~..鲧.鮌鯀
嘧,mihm,4|~..嘧.
绀,gahnx,4~~..绀.紺
郦,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
噱,jjuem,2|~.嚼.崛蹶噱矍.躩
浠,xio,1\\.惜溪汐.淅浠穸.窸鸂
潸,shano,1\\..潸.
跏,jiam,1|~..跏.
鲶,nnianq,2/~..鲇鲶.鮎
矍,jjuem,2|~.嚼.崛蹶噱矍.躩
苌,cchangf,2-|..苌.長
抻,chenf,1-|.郴.抻.
琰,yaang,3--..琰.
鹚,ccii,2\/.慈.鹚糍.
龆,ttiaoh,2|-..龆.
臬,niehr,4/|..臬.
芄,wwanf,2-|..芄.
呔,taaim,3|~..呔.
雒,luohq,4/~..雒.
觞,shangq,1/~..觞.
钒,ffant,2/-.繁钒..緐笲
饫,yuhq,4/~.狱.饫.
阒,quhu,4\|..阒.
槎,cchaf,2-|.查茶茬搽.楂槎檫.
鸩,zhehnp,4\~..鸩.
舂,chongg,1--..舂.
谠,daangp,3\~..谠.
阡,qianb,1~|..阡.
莒,juuf,3-|..榉莒.蒟
萸,yyuf,2-|.榆.揄萸.荢
妗,jihnv,4~/..妗.
稔,reent,3/-..稔.秹
穰,rrangt,2/-..穰.
蚧,jiehm,4|~.界.蚧骱.蛶
餍,yahnd,4-/.厌雁砚.赝餍.顑饜贋
谯,qqiaop,2\~..谯.
芗,xiangf,1-|.相.芗葙.蘘
菸,yanf,1-|.焉.菸鄢.醃
葩,paf,1-|..葩.
踔,chuom,1|~..踔.
厣,yaand,3-/..魇厣.黡黶
佻,tiaor,1/|..佻.
嘌,piaohm,4|~..嘌.
饩,xihq,4/~.系.饩.
钏,chuahnt,4/-..钏.
蠓,meengm,3|~..蠓蜢.矇
黩,ddum,2|~..黩髑.
倨,juhr,4/|.俱.倨.
腸,cchangq,2/~.肠..腸鲿
缬,xxiex,2~~..缬.綊
殚,dand,1-/..殚.
钿,diahnt,4/-..钿簟.
鎏,lliuo,2\\.流.浏鎏.
恁,nninr,2/|.您.恁.
藿,huohf,4-|.或获惑.藿.
囟,xihnr,4/|.信衅.囟.舋
鄣,zhangy,1\-.章彰.鄣.麞
呋,fum,1|~..趺呋跗.
婺,wuhc,4~\..骛鹜婺.鶩
绱,shahngx,4~~..绱.
瓯,oud,1-/.欧殴鸥.瓯.
旃,zhany,1\-..旃.鹯邅譫鸇詀
锶,sit,1/-.私.锶.
酩,miingf,3-|..酩.
恹,yano,1\\.淹.湮恹.
逶,weit,1/-..逶.
缦,mahnx,4~~..缦.
鸹,guat,1/-.刮.鸹.鴰
螟,mmingm,2|~.明鸣螟.瞑暝.鳴眳眀
菟,ttuf,2-|..荼菟酴.
阗,ttianu,2\|..阗.
濉,suio,1\\..濉.
篑,kuiht,4/-..篑.籄
醪,llaof,2-|.劳.醪.
鲛,jiaoq,1/~.胶.鲛.膠膲
讦,jjiep,2\~..诘讦.
媪,aaov,3~/..媪.
邬,wuq,1/~.乌.邬.鰞
殇,shangd,1-/..殇.
鄯,shahni,4\/.善.鄯剡.
芡,qiahnf,4-|..茜芡.蒨
嫠,llig,2--.璃.嫠.釐
肼,jiingq,3/~..肼.
峤,jiaohm,4|~.叫.峤噍.覐
矽,xid,1-/.硒矽..豨礂
讧,hohngp,4\~..讧.
掼,guahnf,4-|..鹳掼.雚
焖,mehni,4\/..焖.
愆,qiane,1//..愆.
聩,kuihf,4-|..匮聩蒉.聭聵
岘,xiahnm,4|~.县.岘.県睍縣
靛,diahng,4--.靛.玷.
菖,changf,1-|..菖.
卟,buum,3|~..卟.
姒,sihv,4~/..姒.
杷,ppaf,2-|..杷.
砉,huag,1--..砉.
袢,pahnp,4\~..袢襻.
蚋,ruihm,4|~..蚋.
笳,jiat,1/-..笳镓.筴
挈,qiehg,4--..挈.
關,guanm,1|~...關
踽,juum,3|~.咀.踽.
黾,miaanm,3|~.冕.黾眄.
麼,mehhy,5\-..麽.麼
侩,kuaihr,4/|.侩..
凫,ffuq,2/~.服.匐凫.鮄
诔,leeip,3\~..诔.
郯,ttani,2\/..郯.
韪,weeim,3|~..韪.骫骩蜼
挲,suoo,1\\..娑挲.
笪,ddat,2/-.答.笪.
鼋,yyuang,2--.元.鼋.黿
莜,yyouf,2-|..莜莸.輶莤蓧
風,fengq,1/~.风..風
菅,jianf,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
嵊,shehngm,4|~..嵊晟.
裢,llianp,2\~..裢.
趿,tam,1|~..遢趿.
箸,zhuht,4/-.筑铸.箸.築
莴,wof,1-|.挝.莴.萵
莠,yoouf,3-|.酉.莠.苃
阌,wwenu,2\|.闻.阌.
旯,llam,2|~..旯.
圜,hhuanm,2|~..圜.鹮瞏
涪,ffuo,2\\.浮涪..
赍,jif,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
柞,zhahf,4-|.榨柞..醡
嗍,suom,1|~.唆.嗦嗍睃.
囵,llunm,2|~..囵.
榧,feeif,3-|.菲匪.榧.蕜
裰,duop,1\~..裰.
笾,biant,1/-..笾.箯
簟,diahnt,4/-..钿簟.
跎,ttuom,2|~..跎鼍.鼉
巽,xuhnn,4~-.迅.巽.
曷,hhem,2|~..曷.鶡鹖
逖,tihq,4/~..逖.
骓,zhuix,1~~..骓.
绔,kuhx,4~~..绔.
枋,fangf,1-|.芳坊.枋.
镒,yiht,4/-..镒镱.
魃,bbar,2/|..魃.鼥
餮,tiehd,4-/..餮.
讵,juhp,4\~..讵.
乜,miex,1~~..乜.
鄢,yanf,1-|.焉.菸鄢.醃
瑭,ttangg,2--..瑭.
踅,chihf,4-|.赤翅.敕踅.趩鶒鷘
馓,saanq,3/~..馓.
蟛,ppengm,2|~..蟛.
鳟,zunq,1/~..鳟.
荛,rraof,2-|..荛桡.
菬,qqiaof,2-|.桥.樵荞鞒.菬藮
忪,songo,1\\..淞忪.
阍,hunu,1\|..阍.
姹,chahv,4~/..姹.
纰,pix,1~~..纰.
桉,anf,1-|.鞍.桉.
氪,keht,4/-..氪锞.
氘,daot,1/-..氘.
垅,loongf,3-|.拢.垅.
郃,xxiaw,2/\...郃鎋
汊,chaho,4\\..汊.
娉,pingv,1~/..娉.
纡,yux,1~~..纡.
缟,gaaox,3~~..缟.縞
旮,gaq,1/~..旮.
镢,jjuet,2/-..镢.穱
傈,lihr,4/|.例俐傈.俪.
堋,ppengf,2-|.彭蓬棚.堋.芃髼鬅
蔺,lihnf,4-|..蔺.藺轥
庥,xiuy,1\-..庥.
枥,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
腭,ehq,4/~.饿.鳄腭.
鹕,hhuf,2-|.胡壶葫.鹕槲觳醐.縠
笮,zzet,2/-..笮迮箦.
髂,qiahm,4|~..髂.
魍,waangr,3/|..魍.
缁,zix,1~~..缁.
槊,shuohi,4\/.烁朔.槊.
跞,lihm,4|~..蛎詈跞唳呖.蠣
醚,mmif,2-|.醚.蘼.醿蒾醾
吒,zhahm,4|~..蚱咤吒.
枳,zhiif,3-|.指址.酯芷枳.茝藢
搿,gget,2/-..镉搿.
鹧,zhehy,4\-.这.鹧.這
蜍,cchum,2|~.躇.蜍蹰.
舻,llue,2//..舻.艫
鏊,aohg,4--..鏊骜.驁
禳,rrangp,2\~..禳.
蒺,jjif,2-|.极吉藉棘.楫蒺蕺.鞊趌
钹,bbot,2/-.箔铂.钹.镈穛
蜢,meengm,3|~..蠓蜢.矇
鬻,yuhn,4~-..聿熨鬻肀.
珩,hhengg,2--..珩.
卮,zhie,1//..卮.
垭,yaf,1-|.押.桠垭.
苄,biahnf,4-|..苄.
苕,ttiaof,2-|..苕髫.蓚蓨
菀,waanf,3-|.挽.菀.輓
骠,biaox,1~~..骠.
袷,jjiap,2\~..袷.
跹,xianm,1|~..暹跹.
瘘,louhy,4\-..瘘.
騔,ggef,2-|.格革葛.鬲塥.騔轕
論,luhny,4\-...論
磬,qihngf,4-|..罄磬.
缶,foout,3/-..缶.缻
笸,poot,3/-..笸钷.
鸷,zhihf,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
頭,ttouf,2-|.投..頭
芰,jihf,4-|.技蓟.髻芰荠.繫蟿繋驥
蕲,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
阆,llangu,2\|..阆.
纨,wwanx,2~~..纨.
琮,ccongg,2--..琮.
牦,mmaot,2/-.毛锚.牦.
砩,feihd,4-/..砩.
蠲,juani,1\/..蠲.
锒,llangt,2/-..锒稂.
锕,at,1/-..锕.
郓,yuhnp,4\~..郓.運
妯,zzhouv,2~/..妯.
驷,sihx,4~~..驷.
鹩,lliaod,2-/..鹩.
舢,shane,1//..舢.
趸,duuna,3-~..趸.
證,zhehngy,4\-.症..證証
養,yaangi,3\/.养..養
芫,yyuanf,2-|.援袁垣.芫塬橼.薗
嗉,suhm,4|~..嗉.
蠊,llianm,2|~..蠊.
笊,zhaoht,4/-..笊.
莸,yyouf,2-|..莜莸.輶莤蓧
饴,yyiq,2/~.疑胰.饴.迻
阃,kuunu,3\|..阃.
浯,wwuo,2\\..浯.
枇,ppif,2-|..枇鼙芘埤.
焱,yahni,4\/.焰.焱.
铆,maaot,3/-.铆..
擤,xiingf,3-|.醒.擤.
柢,diif,3-|.抵.柢.菧聜軧
醢,haaif,3-|..醢.酼
呲,cim,1|~..呲.跐
崾,yaaom,3|~.咬.崾.闄
溆,xuho,4\\.恤.溆洫.
潴,zhuo,1\\..潴洙.
牖,yoour,3/|..牖.脩
硪,wohd,4-/..硪.
碓,duihd,4-/..碓.
鹆,yuhw,4/\.欲愈.鹆.鋊鈺鐍錥
鬣,liehf,4-|..趔鬣捩.鬛茢
堀,kuf,1-|.枯.堀.
帙,zhihm,4|~.置帜峙.蛭帙踬.跱
雱,pangs,1-\...雱
須,xue,1//.须..須
進,jihnr,4/|...進
诎,qup,1\~..祛诎.袪
獐,zhangq,1/~..獐.
桁,hhengf,2-|.横.桁蘅.
蛱,jjiam,2|~..蛱.
鳏,guanq,1/~..鳏.
郴,chenf,1-|.郴.抻.
幂,mihp,4\~.幂.谧.鼏
箝,qqiant,2/-.钱钳.钤箝.
僳,suhr,4/|.僳..
疝,shahny,4\-..疝.訕
茴,hhuif,2-|..茴.
揶,yyef,2-|.耶.揶.
呦,youm,1|~.幽.呦.
嗌,aihm,4|~.唉.暧嗌.賹
囹,llingm,2|~..蛉呤囹.跉
螈,yyuanm,2|~.员园圆.螈.
脲,niaohq,4/~..脲.
镊,nieht,4/-.镍镊..
锑,tit,1/-.锑..
胨,dohngq,4/~..胴胨.
膈,ggeq,2/~..膈.
痼,guhy,4\-..痼.
鳊,bianq,1/~..鳊.
赅,gaim,1|~..赅.賅
贽,zhihf,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
處,chuhh,4|-...處
苤,pieef,3-|..苤.
峄,yihm,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
桡,rraof,2-|..荛桡.
雎,jum,1|~..雎.踘跔罝
鲋,fuhq,4/~.负腹.鲋鳆.負
鞫,juf,1-|.拘鞠.掬趄鞫苴椐.
鼬,youhr,4/|.佑.鼬侑.
獯,xunq,1/~..獯.臐
昀,yyunm,2|~.郧.昀.眃
痍,yyiy,2\-..痍.讉訑詒
蟊,mmaoc,2~\.矛.蟊蝥.
鞴,beihf,4-|..蓓孛鞴.
疖,jiey,1\-..疖.
熘,liui,1\/..熘.
乇,tuot,1/-..乇.
羸,lleiy,2\-..羸.
嵴,jjim,2|~..岌嵴戢.蹐踖蝍
栀,zhif,1-|.支枝芝.栀.鳷
槲,hhuf,2-|.胡壶葫.鹕槲觳醐.縠
炝,qiahngi,4\/..炝.
炷,zhuhi,4\/..炷.羜
硐,dohngd,4-/..硐.
锸,chat,1/-..锸.臿
鹂,llif,2-|..藜鹂蓠.醨菞
裾,jup,1\~..裾.
侪,cchair,2/|..侪.
診,zheeny,3\-.疹..診
調,diaohy,4\-...調訋
珐,fahg,4--.珐..
縯,yiinx,3~~...縯
哔,bihm,4|~..跸哔畀睥髀.閉閟蜌罼赑
屙,en,1~-..屙.
旆,peihy,4\-..旆.
佰,baair,3/|.佰..
僦,jiuhr,4/|.舅臼.僦.
牯,guut,3/-..鹄钴牯.
钪,kahngt,4/-..钪.
掾,yuahnf,4-|.苑.掾垸.
針,zhenw,1/\...針鉁鎭
仟,qianr,1/|.仟..
圮,piif,3-|..圮擗.
芟,shanf,1-|.杉栅苫.芟埏.
崃,llaim,2|~..崃.
廪,liiny,3\-.凛.廪.
擘,bohn,4~-..擘檗.
笱,goout,3/-..笱.
跗,fum,1|~..趺呋跗.
鲅,bahq,4/~..鲅.鲌鮊鮁
硷,jiaand,3-/.碱硷..蠒
苎,zhuhf,4-|.著柱.杼苎翥.苧駐
匏,ppaod,2-/..匏.
嗾,sooum,3|~..嗾瞍.
圄,yuum,3|~.屿.圄圉.蝺
彀,gouhf,4-|.构垢.彀.
粳,jingi,1\/.精粳..
卣,yoouh,3|-..卣.
勐,meengb,3~|..勐.
掴,gguof,2-|..掴.聝
涑,suho,4\\.宿溯.愫涑.
浞,zzhuoo,2\\.浊.濯浞.
玳,daihg,4--..玳甙.
愍,miinn,3~-..愍.
畛,zheenm,3|~..畛.眕
赧,naanf,3-|..赧.
貉,hhaow,2/\.貉..
擀,gaanf,3-|.赶.橄擀.趕
湫,jiaaoo,3\\..湫.
逦,liif,3-|.李.醴逦.
椴,duahnf,4-|..椴.葮
铄,shuoht,4/-..铄.
箧,qieht,4/-..锲箧.稧
刖,yuehq,4/~.月.刖.
鲮,llingq,2/~..鲮.
訇,hongq,1/~..訇.
茱,zhuf,1-|.株.茱槠.藷
啖,dahnm,4|~.旦.啖.贉
悭,qiano,1\\..骞悭褰搴.騫
愀,qiaaoo,3\\..愀.
朐,qquq,2/~..劬朐鸲.臒胊臞
畈,fahnm,4|~.贩.畈.販
鹨,liuhc,4~\..鹨.
蛘,yyangm,2|~..蛘.
佶,jjir,2/|.集.佶.
缃,xiangx,1~~.乡.骧缃.鄉纕緗
晟,shehngm,4|~..嵊晟.
鲱,feiq,1/~..鲱.鯡
凼,dahngm,4|~..凼.逿
苴,juf,1-|.拘鞠.掬趄鞫苴椐.
颛,zhuanm,1|~..颛.顓耑
厍,shehd,4-/..厍.
匚,fanga,1-~..匚.
徉,yyange,2//..徉.
洙,zhuo,1\\..潴洙.
氡,dongt,1/-..氡.笗
胗,zhenq,1/~..胗.鱵眞
癯,qquy,2\-..癯.
鞒,qqiaof,2-|.桥.樵荞鞒.菬藮
锆,gaoht,4/-.告.锆郜.
佤,waar,3/|..佤.
錢,qqianw,2/\...錢鍼
飲,yiinw,3/\...飲飮釿
細,xihx,4~~.细..細绤
勰,xxiev,2~/..勰.脅
钺,yueht,4/-..钺.籆
繇,yyaow,2/\.遥.肴爻繇.飖餆餚颻
螭,chim,1|~.吃.嗤哧螭眵.
嵬,wweim,2|~.围唯.帷嵬帏.
轸,zheena,3-~..轸.
肟,wohq,4/~..肟.雘
肫,zhunq,1/~..肫.
邨,cuna,1-~...邨
瘿,yiingy,3\-..瘿.
仞,rehnr,4/|.任.仞.
奁,lliand,2-/..奁.
宄,guiio,3\\..宄.
轳,llua,2-~..轳.
熳,mahni,4\/..熳.
睇,dihm,4|~..睇.
钼,muht,4/-.牧穆.钼.
蝼,lloum,2|~..髅蝼.髏
跆,ttaim,2|~..跆.
樗,chuf,1-|..樗.
鲰,zouq,1/~.邹.鲰.
節,jiet,1/-.秸..節稭
诶,eip,1\~..诶.
薜,bihf,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
铧,hhuat,2/-..铧.
裥,jiaanp,3\~..裥谫.
榇,chehnf,4-|.趁.榇.
馃,guooq,3/~..猓.馃
術,shuhe,4//...術
蹚,tangm,1|~...蹚闛
怄,ouho,4\\..怄.
寤,wuho,4\\.悟.鋈寤.
缗,mminx,2~~..缗.
硗,qiaod,1-/..硗.碻
碡,ddud,2-/..碡.
矬,ccuot,2/-..矬.
鸱,chiq,1/~..鸱.鴟
虺,huid,1-/.灰.虺.豗
糅,rroui,2\/..糅.
雠,cchour,2/|.仇.俦雠.雔
帑,taangv,3~/..帑.
镧,llant,2/-.篮.镧.籣
埙,xunf,1-|..薰醺埙.
啁,zhoum,1|~..啁.赒
悒,yiho,4\\.忆溢.悒怿.
犍,jiant,1/-.笺.犍.篯钘箋
硌,gehd,4-/..硌.
锩,juaant,3/-..锩.
虿,chaiha,4-~..虿.袃
蛑,mmoum,2|~..眸蛑.
艉,weeie,3//..艉.
钅,jint,1/-.筋.钅.
咴,huim,1|~..晖咴.
筮,shiht,4/-.适.舐筮铈.籂
艏,shooue,3//..艏.
糁,saani,3\/..糁.
鼍,ttuom,2|~..跎鼍.鼉
肄,yihq,4/~.逸臆肄..鮨
籴,ddiw,2/\..籴.糴
骜,aohg,4--..鏊骜.驁
砻,llongd,2-/.龙聋.砻.龓
蜮,yuhm,4|~.遇吁喻峪.昱蜮.閾
龀,chehnh,4|-..龀.
黢,qum,1|~.曲蛆.岖蛐黢.
劢,maiha,4-~.迈.劢.
腫,zhoongq,3/~.肿..腫
耪,paangg,3--.耪..
鬯,chahngw,4/\..鬯.
畚,beenc,3~\..畚.
觳,hhuf,2-|.胡壶葫.鹕槲觳醐.縠
稞,ket,1/-.科.稞钶.簻
鹁,bbof,2-|.博勃搏.鹁.茀駮豰
鲲,kunq,1/~..鲲.臗
稱,chengt,1/-.称.铛.稱
捌,baf,1-|.扒芭捌..
菔,ffuf,2-|.扶拂.芙苻茯菔莩桴.葍輻
獬,xiehq,4/~.蟹.邂獬.
柘,zhehf,4-|.蔗.柘.
娆,rraov,2~/..娆.
篪,cchit,2/-..篪.竾筂
鲀,ttunq,2/~..豚饨.鲀
谰,llanp,2\~.谰.褴.襕襽
孬,naod,1-/..孬.
伥,changr,1/|..伥.
谇,suihp,4\~..谇.禭
鄄,juahnf,4-|..鄄.
狎,xxiaq,2/~.狭.狎.
闫,yyanu,2\|.阎.闫.
滟,yahno,4\\.宴.滟.
齑,jiy,1\-..齑.韲齏
遒,qqiui,2\/.酋.遒.
磔,zzhed,2-/..磔.詟
聃,danf,1-|.担耽.聃.酖聸
綦,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
鲡,lliq,2/~.狸.鲡.鯏鱺
蔻,kouhf,4-|.扣.蔻.蔲鷇
泠,llingo,2\\..泠.
砗,ched,1-/..砗.
钕,nyuut,3/-..钕.
镫,dehngt,4/-..镫.
菹,zuf,1-|..菹.
胂,shehnq,4/~..胂.
煅,duahni,4\/.断.煅.
煸,biani,1\/..煸.
螯,vvaog,2--.熬敖.鳌遨螯獒聱.鰲鼇
躅,zzhum,2|~..躅.蠋蠾鸀
鲠,geengq,3/~..鲠.鯁
佥,qianw,1/\..佥.鉛鈆
罘,ffum,2|~.幅.蝠蚨罘蜉幞.
嶝,dehngm,4|~.瞪.嶝.
適,shihy,4\-.市..適試諡
坨,ttuof,2-|..橐坨酡柁.駝駞
菽,shuf,1-|.枢梳蔬抒.菽摅.輸
哞,moum,1|~..哞.
徜,cchange,2//..徜.
慊,qiahno,4\\..慊.
洳,ruho,4\\..洳溽.
渑,miaano,3\\..湎渑沔.
灞,baho,4\\..灞.
盍,hhef,2-|.核荷菏.盍翮.鞨麧覈
钋,pot,1/-..钋.
鸫,donga,1-~.东.鸫.
踯,zzhim,2|~..踯跖.蹠
縻,mmiy,2\-.靡糜.麋縻.詸
萘,naihf,4-|..萘柰.
褫,chiip,3\~..褫.
羰,tangi,1\/..羰.
腦,naaoq,3/~.脑..腦脳
俅,qqiur,2/|..俅.
芤,kouf,1-|.抠.芤.
隳,huib,1~|..隳.
洮,ttaoo,2\\.淘.洮.
胼,ppianq,2/~..胼.
罴,ppim,2|~.啤毗.罴蚍蜱.
镛,yongt,1/-..镛.
怛,ddao,2\\..怛.
芊,qianf,1-|.扦.芊.遷藖韆
啉,llinm,2|~..嶙啉瞵.
噌,cengm,1|~..噌.
嫱,qqiangv,2~/..嫱.
绲,guunx,3~~..绲.緄
膻,shanq,1/~.删.膻.鯅
焐,wuhi,4\/..焐.
裡,liip,3\~.礼..裡禮
葎,lyuhf,4-|...葎
亓,qqig,2--..琪琦亓.
倮,luoor,3/|..倮.躶
莼,cchunf,2-|.醇.莼.醕
