的,daiehh,5/|.的..
缶,faeoou,3/-..缶.缻
笸,paeoo,3/-..笸钷.
鸷,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
頭,teiouh,2-|.投..頭
芰,jeiiih,4-|.技蓟.髻芰荠.繫蟿繋驥
蕲,qeiih,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
阆,luiahng,2\|..阆.
纨,wooahn,2~~..纨.
琮,ceeohng,2--..琮.
牦,maeaoh,2/-.毛锚.牦.
砩,feaeeih,4-/..砩.
蠲,juauan,1\/..蠲.
锒,laeahng,2/-..锒稂.
锕,aea,1/-..锕.
郓,yuouuhn,4\~..郓.運
妯,zhoaouh,2~/..妯.
驷,sooiih,4~~..驷.
鹩,leaiaoh,2-/..鹩.
舢,shaaan,1//..舢.
趸,deouun,3-~..趸.
證,zhueeehng,4\-.症..證証
養,yuaaang,3\/.养..養
芫,yeiuahn,2-|.援袁垣.芫塬橼.薗
嗉,siouuh,4|~..嗉.
蠊,lioiahn,2|~..蠊.
笊,zhaeaaoh,4/-..笊.
莸,yeiouh,2-|..莜莸.輶莤蓧
饴,yaoih,2/~.疑胰.饴.迻
阃,kuiuun,3\|..阃.
浯,wuuuh,2\\..浯.
枇,peiih,2-|..枇鼙芘埤.
焱,yuaaahn,4\/.焰.焱.
铆,maeaao,3/-.铆..
擤,xeiiing,3-|.醒.擤.
柢,deiii,3-|.抵.柢.菧聜軧
醢,heiaai,3-|..醢.酼
呲,cioi,1|~..呲.跐
崾,yioaao,3|~.咬.崾.闄
溆,xuuuuh,4\\.恤.溆洫.
潴,zhuuu,1\\..潴洙.
牖,yaioou,3/|..牖.脩
硪,weaooh,4-/..硪.
碓,deauiih,4-/..碓.
鹆,yauuuh,4/\.欲愈.鹆.鋊鈺鐍錥
鬣,leiieeh,4-|..趔鬣捩.鬛茢
堀,keiu,1-|.枯.堀.
帙,zhioiih,4|~.置帜峙.蛭帙踬.跱
雱,peuang,1-\...雱
須,xaau,1//.须..須
進,jaiiihn,4/|...進
诎,quou,1\~..祛诎.袪
獐,zhaoang,1/~..獐.
桁,heiehng,2-|.横.桁蘅.
蛱,jioiah,2|~..蛱.
鳏,gaouan,1/~..鳏.
郴,cheien,1-|.郴.抻.
幂,muoiih,4\~.幂.谧.鼏
箝,qaeiahn,2/-.钱钳.钤箝.
僳,saiuuh,4/|.僳..
疝,shueaahn,4\-..疝.訕
茴,heiuih,2-|..茴.
揶,yeieh,2-|.耶.揶.
呦,yioou,1|~.幽.呦.
嗌,ioaaih,4|~.唉.暧嗌.賹
囹,lioihng,2|~..蛉呤囹.跉
螈,yiouahn,2|~.员园圆.螈.
脲,naoiaaoh,4/~..脲.
镊,naeieeh,4/-.镍镊..
锑,taei,1/-.锑..
胨,daooohng,4/~..胴胨.
膈,gaoeh,2/~..膈.
痼,gueuuh,4\-..痼.
鳊,baoian,1/~..鳊.
赅,gioai,1|~..赅.賅
贽,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
處,chieuuh,4|-...處
苤,peiiee,3-|..苤.
峄,yioiih,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
桡,reiaoh,2-|..荛桡.
雎,jiou,1|~..雎.踘跔罝
鲋,faouuh,4/~.负腹.鲋鳆.負
鞫,jeiu,1-|.拘鞠.掬趄鞫苴椐.
鼬,yaioouh,4/|.佑.鼬侑.
獯,xaoun,1/~..獯.臐
昀,yiouhn,2|~.郧.昀.眃
痍,yueih,2\-..痍.讉訑詒
蟊,mouaoh,2~\.矛.蟊蝥.
鞴,beieeih,4-|..蓓孛鞴.
疖,jueie,1\-..疖.
熘,luaiu,1\/..熘.
乇,taeuo,1/-..乇.
羸,lueeih,2\-..羸.
嵴,jioih,2|~..岌嵴戢.蹐踖蝍
栀,zheii,1-|.支枝芝.栀.鳷
槲,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
炝,quaiaahng,4\/..炝.
炷,zhuauuh,4\/..炷.羜
硐,deaoohng,4-/..硐.
锸,chaea,1/-..锸.臿
鹂,leiih,2-|..藜鹂蓠.醨菞
裾,juou,1\~..裾.
侪,chaiaih,2/|..侪.
診,zhueeen,3\-.疹..診
調,dueiaaoh,4\-...調訋
珐,feeaah,4--.珐..
縯,yooiin,3~~...縯
哔,bioiih,4|~..跸哔畀睥髀.閉閟蜌罼赑
屙,oee,1~-..屙.
旆,pueeeih,4\-..旆.
佰,baiaai,3/|.佰..
僦,jaiiuuh,4/|.舅臼.僦.
牯,gaeuu,3/-..鹄钴牯.
钪,kaeaahng,4/-..钪.
掾,yeiuaahn,4-|.苑.掾垸.
針,zhauen,1/\...針鉁鎭
仟,qaiian,1/|.仟..
圮,peiii,3-|..圮擗.
芟,sheian,1-|.杉栅苫.芟埏.
崃,lioaih,2|~..崃.
廪,lueiin,3\-.凛.廪.
擘,boeooh,4~-..擘檗.
笱,gaeoou,3/-..笱.
跗,fiou,1|~..趺呋跗.
鲅,baoaah,4/~..鲅.鲌鮊鮁
硷,jeaiaan,3-/.碱硷..蠒
苎,zheiuuh,4-|.著柱.杼苎翥.苧駐
匏,peaaoh,2-/..匏.
嗾,siooou,3|~..嗾瞍.
圄,yiouu,3|~.屿.圄圉.蝺
彀,geioouh,4-|.构垢.彀.
粳,juaing,1\/.精粳..
卣,yieoou,3|-..卣.
勐,moieeng,3~|..勐.
掴,geiuoh,2-|..掴.聝
涑,suuuuh,4\\.宿溯.愫涑.
浞,zhuuuoh,2\\.浊.濯浞.
玳,deeaaih,4--..玳甙.
愍,moeiin,3~-..愍.
畛,zhioeen,3|~..畛.眕
赧,neiaan,3-|..赧.
貉,hauaoh,2/\.貉..
擀,geiaan,3-|.赶.橄擀.趕
湫,juuiaao,3\\..湫.
逦,leiii,3-|.李.醴逦.
椴,deiuaahn,4-|..椴.葮
铄,shaeuooh,4/-..铄.
箧,qaeieeh,4/-..锲箧.稧
刖,yaoueeh,4/~.月.刖.
鲮,laoihng,2/~..鲮.
訇,haoong,1/~..訇.
茱,zheiu,1-|.株.茱槠.藷
啖,dioaahn,4|~.旦.啖.贉
悭,quuian,1\\..骞悭褰搴.騫
愀,quuiaao,3\\..愀.
朐,qaouh,2/~..劬朐鸲.臒胊臞
畈,fioaahn,4|~.贩.畈.販
鹨,louiuuh,4~\..鹨.
蛘,yioahng,2|~..蛘.
佶,jaiih,2/|.集.佶.
缃,xooiang,1~~.乡.骧缃.鄉纕緗
晟,shioeehng,4|~..嵊晟.
鲱,faoei,1/~..鲱.鯡
凼,dioaahng,4|~..凼.逿
苴,jeiu,1-|.拘鞠.掬趄鞫苴椐.
颛,zhiouan,1|~..颛.顓耑
厍,sheaeeh,4-/..厍.
匚,feoang,1-~..匚.
徉,yaaahng,2//..徉.
洙,zhuuu,1\\..潴洙.
氡,daeong,1/-..氡.笗
胗,zhaoen,1/~..胗.鱵眞
癯,queuh,2\-..癯.
鞒,qeiiaoh,2-|.桥.樵荞鞒.菬藮
锆,gaeaaoh,4/-.告.锆郜.
佤,waiaa,3/|..佤.
錢,qauiahn,2/\...錢鍼
飲,yauiin,3/\...飲飮釿
細,xooiih,4~~.细..細绤
勰,xoaieh,2~/..勰.脅
钺,yaeueeh,4/-..钺.籆
繇,yauaoh,2/\.遥.肴爻繇.飖餆餚颻
螭,chioi,1|~.吃.嗤哧螭眵.
嵬,wioeih,2|~.围唯.帷嵬帏.
轸,zheoeen,3-~..轸.
肟,waoooh,4/~..肟.雘
肫,zhaoun,1/~..肫.
邨,ceoun,1-~...邨
瘿,yueiing,3\-..瘿.
仞,raieehn,4/|.任.仞.
奁,leaiahn,2-/..奁.
宄,guuuii,3\\..宄.
轳,leouh,2-~..轳.
熳,muaaahn,4\/..熳.
睇,dioiih,4|~..睇.
钼,maeuuh,4/-.牧穆.钼.
蝼,lioouh,2|~..髅蝼.髏
跆,tioaih,2|~..跆.
樗,cheiu,1-|..樗.
鲰,zaoou,1/~.邹.鲰.
節,jaeie,1/-.秸..節稭
诶,uoei,1\~..诶.
薜,beiiih,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
铧,haeuah,2/-..铧.
裥,juoiaan,3\~..裥谫.
榇,cheieehn,4-|.趁.榇.
馃,gaouoo,3/~..猓.馃
術,shaauuh,4//...術
蹚,tioang,1|~...蹚闛
怄,uuoouh,4\\..怄.
寤,wuuuuh,4\\.悟.鋈寤.
缗,mooihn,2~~..缗.
硗,qeaiao,1-/..硗.碻
碡,deauh,2-/..碡.
矬,caeuoh,2/-..矬.
鸱,chaoi,1/~..鸱.鴟
虺,heaui,1-/.灰.虺.豗
糅,ruaouh,2\/..糅.
雠,chaiouh,2/|.仇.俦雠.雔
帑,toaaang,3~/..帑.
镧,laeahn,2/-.篮.镧.籣
埙,xeiun,1-|..薰醺埙.
啁,zhioou,1|~..啁.赒
悒,yuuiih,4\\.忆溢.悒怿.
犍,jaeian,1/-.笺.犍.篯钘箋
硌,geaeeh,4-/..硌.
锩,jaeuaan,3/-..锩.
虿,cheoaaih,4-~..虿.袃
蛑,mioouh,2|~..眸蛑.
艉,waaeei,3//..艉.
钅,jaein,1/-.筋.钅.
咴,hioui,1|~..晖咴.
筮,shaeiih,4/-.适.舐筮铈.籂
艏,shaaoou,3//..艏.
糁,suaaan,3\/..糁.
鼍,tiouoh,2|~..跎鼍.鼉
肄,yaoiih,4/~.逸臆肄..鮨
籴,dauih,2/\..籴.糴
骜,eeaaoh,4--..鏊骜.驁
砻,leaohng,2-/.龙聋.砻.龓
蜮,yiouuh,4|~.遇吁喻峪.昱蜮.閾
龀,chieeehn,4|-..龀.
黢,qiou,1|~.曲蛆.岖蛐黢.
劢,meoaaih,4-~.迈.劢.
腫,zhaooong,3/~.肿..腫
耪,peeaang,3--.耪..
鬯,chauaahng,4/\..鬯.
畚,boueen,3~\..畚.
觳,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
稞,kaee,1/-.科.稞钶.簻
鹁,beioh,2-|.博勃搏.鹁.茀駮豰
鲲,kaoun,1/~..鲲.臗
稱,chaeeng,1/-.称.铛.稱
捌,beia,1-|.扒芭捌..
菔,feiuh,2-|.扶拂.芙苻茯菔莩桴.葍輻
獬,xaoieeh,4/~.蟹.邂獬.
柘,zheieeh,4-|.蔗.柘.
娆,roaaoh,2~/..娆.
篪,chaeih,2/-..篪.竾筂
鲀,taouhn,2/~..豚饨.鲀
谰,luoahn,2\~.谰.褴.襕襽
孬,neaao,1-/..孬.
伥,chaiang,1/|..伥.
谇,suouiih,4\~..谇.禭
鄄,jeiuaahn,4-|..鄄.
狎,xaoiah,2/~.狭.狎.
闫,yuiahn,2\|.阎.闫.
滟,yuuaahn,4\\.宴.滟.
齑,juei,1\-..齑.韲齏
遒,quaiuh,2\/.酋.遒.
磔,zheaeh,2-/..磔.詟
聃,deian,1-|.担耽.聃.酖聸
綦,qeiih,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
鲡,laoih,2/~.狸.鲡.鯏鱺
蔻,keioouh,4-|.扣.蔻.蔲鷇
泠,luuihng,2\\..泠.
砗,cheae,1-/..砗.
钕,nyaeuu,3/-..钕.
镫,daeeehng,4/-..镫.
菹,zeiu,1-|..菹.
胂,shaoeehn,4/~..胂.
煅,duauaahn,4\/.断.煅.
煸,buaian,1\/..煸.
螯,eeaoh,2--.熬敖.鳌遨螯獒聱.鰲鼇
躅,zhiouh,2|~..躅.蠋蠾鸀
鲠,gaoeeng,3/~..鲠.鯁
佥,qauian,1/\..佥.鉛鈆
罘,fiouh,2|~.幅.蝠蚨罘蜉幞.
嶝,dioeehng,4|~.瞪.嶝.
適,shueiih,4\-.市..適試諡
坨,teiuoh,2-|..橐坨酡柁.駝駞
菽,sheiu,1-|.枢梳蔬抒.菽摅.輸
哞,mioou,1|~..哞.
徜,chaaahng,2//..徜.
慊,quuiaahn,4\\..慊.
洳,ruuuuh,4\\..洳溽.
渑,muuiaan,3\\..湎渑沔.
灞,buuaah,4\\..灞.
盍,heieh,2-|.核荷菏.盍翮.鞨麧覈
钋,paeo,1/-..钋.
鸫,deoong,1-~.东.鸫.
踯,zhioih,2|~..踯跖.蹠
縻,mueih,2\-.靡糜.麋縻.詸
萘,neiaaih,4-|..萘柰.
褫,chuoii,3\~..褫.
羰,tuaang,1\/..羰.
腦,naoaao,3/~.脑..腦脳
俅,qaiiuh,2/|..俅.
芤,keiou,1-|.抠.芤.
隳,hoiui,1~|..隳.
洮,tuuaoh,2\\.淘.洮.
胼,paoiahn,2/~..胼.
罴,pioih,2|~.啤毗.罴蚍蜱.
镛,yaeong,1/-..镛.
怛,duuah,2\\..怛.
芊,qeiian,1-|.扦.芊.遷藖韆
啉,lioihn,2|~..嶙啉瞵.
噌,cioeng,1|~..噌.
嫱,qoaiahng,2~/..嫱.
绲,goouun,3~~..绲.緄
膻,shaoan,1/~.删.膻.鯅
焐,wuauuh,4\/..焐.
裡,luoii,3\~.礼..裡禮
葎,lyeiuuh,4-|...葎
亓,qeeih,2--..琪琦亓.
倮,laiuoo,3/|..倮.躶
莼,cheiuhn,2-|.醇.莼.醕
蘅,heiehng,2-|.横.桁蘅.
嘞,lioeihh,5|~..嘞.
缒,zhoouiih,4~~.缀.缒.縋綴
镆,maeooh,4/-..秣镆.
網,wooaang,3~~...網
伧,caiang,1/|..伧.
荏,reieen,3-|..荏.
唳,lioiih,4|~..蛎詈跞唳呖.蠣
檩,leiiin,3-|..檩.
鸶,sooi,1~~.丝.鸶缌.絲鷥緦
蚬,xioiaan,3|~.显.蚬跣.顯蜆顕
骱,jioieeh,4|~.界.蚧骱.蛶
蘖,neiieeh,4-|.聂孽.颞蘖.菍糵顳苶聶
澍,shuuuuh,4\\.漱.澍沭.
韫,yeeuuhn,4--.运.韫.
颎,jaoioong,3/~...颎
嘏,geiuu,3-|.古鼓贾.嘏瞽.盬糓
垡,faiah,2/|.伐.垡.
腚,daoiihng,4/~..腚.饤
焯,chuaao,1\/..焯.
繻,xoou,1~~...繻
怙,huuuuh,4\\.沪.怙.
羧,suauo,1\/..羧.
鼙,peiih,2-|..枇鼙芘埤.
倥,kaiong,1/|..倥.躻
亳,bueoh,2\-..亳.
艽,jeiiao,1-|.教蕉椒.艽茭.萩轇驕
荠,jeiiih,4-|.技蓟.髻芰荠.繫蟿繋驥
昴,mioaao,3|~..峁昴.
舨,baaaan,3//..舨.
魈,xaiiao,1/|..魈.翛
醣,teiahng,2-|.塘搪.醣樘.
枵,xeiiao,1-|.萧.枵.虈
粜,toiiaaoh,4~|..粜.
甙,deeaaih,4--..玳甙.
珲,heeui,1--..珲.
杓,beiiao,1-|.标.杓髟.藨
楸,qeiiu,1-|..楸.趥鞧鞦
楦,xeiuaahn,4-|..楦.蔙駨
疃,tiouaan,3|~..疃.
蛏,chioeng,1|~..瞠蛏.
蠛,mioieeh,4|~..蠛.
髌,bioiihn,4|~..髌.髕
茔,yeiihng,2-|.营莹荧萤.萦楹茔蓥.藀
臨,leiihn,2-|.林..臨驎
诼,zhuouoh,2\~..诼.
嬖,boeiih,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
耒,leeeei,3--..耒.
蜣,qioiang,1|~.呛.跄蜣.蹌蹡
笄,jaei,1/-.积稽箕.嵇犄笄.積稘
跣,xioiaan,3|~.显.蚬跣.顯蜆顕
钣,baeaan,3/-..钣.
戆,gueaahng,4\-..戆.
蜉,fiouh,2|~.幅.蝠蚨罘蜉幞.
喾,kuuuuh,4\\..喾.
铍,paeih,2/-..铍.篺
陉,xoiihng,2~|..陉.
薹,teiaih,2-|.抬.薹.臺菭
肷,qaoiaan,3/~..肷.
岵,hiouuh,4|~..岵.
瓴,lauihng,2/\..翎瓴.鸰鈴鴒
荽,seiui,1-|..荽.鞖
怫,fuueeih,4\\.沸.怫.
钭,taeoou,3/-..钭.
窀,zhuuun,1\\..窀.
缯,zooeng,1~~..缯.繒
倬,zhaiuo,1/|..倬.
摭,zheiih,2-|.直职执植.摭絷埴.職
帔,pioeeih,4|~..帔.
楝,leiiaahn,4-|..楝.
痱,fueeeih,4\-.废.痱.
蚶,hioan,1|~..蚶.
螬,cioaoh,2|~..嘈螬.
髑,diouh,2|~..黩髑.
紅,hooohng,2~~.红..紅纮紭紘
鼗,tauaoh,2/\.逃.鼗.鋾
狷,jaouaahn,4/~..狷.
殛,jeaih,2-/..殛.
裉,kuoeehn,4\~..裉.
粝,luaiih,4\/.粒.粝.
萋,qeii,1-|.期欺栖.萋桤.
葭,jeiia,1-|.嘉挟枷.葭.
衽,ruoeehn,4\~.认.衽.袵讱
鳢,laoii,3/~.鲤.鳢.鱧
傧,baiin,1/|..傧.
喁,yioohng,2|~..喁.
嫘,loaeih,2~/..嫘.
罟,giouu,3|~.骨蛊.鹘罟.
钌,laeiaao,3/-..钌.
裼,tuoiih,4\~..裼.
愦,kuuuiih,4\\.溃愧.愦.
蝽,chioun,1|~..蝽.
雖,sioui,1|~.虽.睢眭.雖
锗,zhaeee,3/-.锗..
衿,juoin,1\~.襟.衿.
粢,zuei,1\-.资姿咨.粢.資秶諮
醵,jeiuuh,4-|.据聚拒.苣醵.
跫,qeiiohng,2-|..邛蛩跫茕.蛬藑赹
鐾,boeeeih,4~-..鐾.
廛,chueahn,2\-..廛.鄽
墉,yeiong,1-|.拥.墉.
哌,pioaaih,4|~..哌.
輕,qeiing,1-|...輕
扦,qeiian,1-|.扦.芊.遷藖韆
堇,jeiiin,3-|..槿堇.緊菫蓳
婧,joaiihng,4~/..婧.
暌,kiouih,2|~..睽暌喹蝰.
罱,lioaan,3|~..罱.
镞,zaeuh,2/-..镞.箤稡
蹰,chiouh,2|~.躇.蜍蹰.
陟,zhoiiih,4~|..陟骘.隲
鳔,baoiaaoh,4/~..鳔.
脘,waoaan,3/~..脘.盌
臟,zaoaahng,4/~...臟臓
岿,kioui,1|~.岿..闚
侔,maiouh,2/|..侔.
郾,yeiaan,3-|.掩.郾.菴酀鶠
唿,hiou,1|~.呼.唿.
砹,eaaaih,4-/.碍.砹.礙
疴,kuee,1\-..颏疴.頦
麸,feeu,1--.夫.麸.
薨,heiong,1-|..薨.軣轟
綝,chooen,1~~...綝
滁,chuuuh,2\\.滁..
偾,faieehn,4/|.份.偾.
拊,feiuu,3-|.抚甫.拊.輔郙
撺,ceiuan,1-|..撺.
呒,fiouu,3|~..呒.
狯,kaouaaih,4/~..脍狯.鲙
猢,haouh,2/~.狐.斛猢.魱
椁,geiuoo,3-|..椁.菓
榱,ceiui,1-|.摧.榱.
罾,zioeng,1|~..罾.
铳,chaeoohng,4/-..铳.
裎,chuoehng,2\~.诚.裎.
鳚,waoeeih,4/~..猬.鳚鮇
眦,zioiih,4|~..眦.
璎,yeeing,1--..瑛璎.
認,rueeehn,4\-...認訒
崞,giouo,1|~..蝈崞呙.
缇,tooih,2~~..缇绨.綈緹
蝣,yioouh,2|~.由邮.蝣蚰.蚘
萑,heiuahn,2-|.桓.萑鬟.轘萈
狲,saoun,1/~..飧狲.
缱,qooiaan,3~~..缱.
晷,giouii,3|~..晷.
冼,xueiaan,3\-..冼.
痧,shuea,1\-..痧.
統,toooong,3~~.统..統綂
蕖,qeiuh,2-|..蕖蘧.菃葋
狍,paoaoh,2/~..狍.褜
憷,chuuuuh,4\\..怵憷.
锛,baeen,1/-..锛.
窨,xuuun,1\\..窨.
袼,guoe,1\~..袼.
帏,wioeih,2|~.围唯.帷嵬帏.
儋,daian,1/|..儋.躭
绨,tooih,2~~..缇绨.綈緹
疠,lueiih,4\-.立痢.疠疬.麜讈
蘩,feiahn,2-|.樊.蘩.蠜薠
嵝,liooou,3|~..嵝.
庀,pueii,3\-.痞.癖庀.
汜,suuiih,4\\..泗汜.
炅,giouiih,4|~.贵跪.炅刿.貴瞆趹
煳,huauh,2\/.糊.煳.
泶,xuuueh,2\\.学穴.泶.鸴
瓠,heauuh,4-/..瓠.綔
窳,yuuuu,3\\.宇.窳.
虮,jioii,3|~..虮.
蚰,yioouh,2|~.由邮.蝣蚰.蚘
邰,touaih,2~\.台.邰炱.
苊,eieeh,4-|.恶扼.噩萼垩苊.蕚軛蘁
砀,deaaahng,4-/..砀.碭礑
捩,leiieeh,4-|..趔鬣捩.鬛茢
蹉,ciouo,1|~..蹉.
莪,eieh,2-|..莪.
螽,zhaoong,1/~..螽.
覺,jaiiaaoh,4/|...覺
蘼,meiih,2-|.醚.蘼.醿蒾醾
槔,geiao,1-|..槔.
曛,xioun,1|~.勋.曛.矄
蛲,nioaoh,2|~..呶蛲.蟯
鹾,cieuoh,2|-..鹾.虘
隹,zhaiui,1/|.追.隹.
犸,maoaa,3/~..犸.
衄,nyaiuuh,4/|..衄.衂
觀,geiuan,1-|.棺.莞.觀蒄
轉,zheiuaan,3-|...轉転
銎,qeiiong,1-|..銎.
泫,xuuuaahn,4\\..渲泫.
玢,beein,1--..玢.
辊,geouun,3-~.辊..
瞋,tioiahn,2|~.田.畋.瞋鴫
墀,cheiih,2-|.持.墀坻茌.馳
酐,geian,1-|.甘杆柑.苷酐坩.
隱,yoiiin,3~|.隐..隱
堞,deiieh,2-|..堞耋垤揲.耊镻
尥,leaiaaoh,4-/..尥.
嚯,hiouooh,4|~..蠖嚯.
猗,yaoi,1/~..猗.
逑,qeiiuh,2-|.求.裘逑.
逯,loeuuh,4~-.录.逯.盝
硖,xeaiah,2-/..硖.
噻,sioai,1|~..噻.
嵛,yiouh,2|~.愚.禺嵛蝓.顒颙
畀,bioiih,4|~..跸哔畀睥髀.閉閟蜌罼赑
運,yuouuhn,4\~..郓.運
鲃,baoa,1/~...鲃
偬,zaioong,3/|..偬.
鄞,yeiihn,2-|..垠鄞.鷣
呖,lioiih,4|~..蛎詈跞唳呖.蠣
溧,luuiih,4\\.沥.溧.
嬲,nioiaao,3|~..嬲.
肭,naoaah,4/~..肭.
鹈,tuaih,2\/..鹈.
鹱,haouuh,4/~..鹱.鱯鳠
窭,juuuuh,4\\.惧.窭.
黧,laeih,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
谵,zhuoan,1\~..谵.
沆,huuaahng,4\\..沆.
嫒,oaaaih,4~/..嫒.
塬,yeiuahn,2-|.援袁垣.芫塬橼.薗
缣,jooian,1~~.缄.缣.
篯,jaeian,1/-.笺.犍.篯钘箋
酃,leuihng,2-\.零.酃.靈霝
喱,lioih,2|~..罹蜊喱.
泔,guuan,1\\..泔.
溘,kuueeh,4\\.客.恪溘.
迕,waeuu,3/-.午舞.迕牾.
肀,yoeuuh,4~-..聿熨鬻肀.
秫,shaeuh,2/-..秫.
裣,luoiaan,3\~..裣.
铋,baeiih,4/-..铋篦筚箅.篳
蒌,leiouh,2-|.楼.蒌.蔞鞻
曩,nioaang,3|~..曩.
赀,ziei,1|-..龇赀訾觜.貲齜
箪,daean,1/-..箪.簞
朊,raouaan,3/~..朊.
鳙,yaoong,1/~.臃.鳙.
仫,maiuuh,4/|..仫.
钎,qaeian,1/-.千签迁铅钎..籤箞簽
芑,qeiii,3-|.起.杞芑.
胙,zaouooh,4/~..胙.
盱,xiou,1|~.嘘.盱.
糇,huaouh,2\/..糇.
挹,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
捭,beiaai,3-|.摆柏.捭.
悱,fuueei,3\\..悱.
鬟,heiuahn,2-|.桓.萑鬟.轘萈
緩,hoouaan,3~~.缓..緩
請,queiing,3\-...請
崤,xioiaoh,2|~..崤.
澶,chuuahn,2\\..潺澶.
甾,zooai,1~~..甾.
欹,yeai,1-/.医.欹.醫鷖
瞽,geiuu,3-|.古鼓贾.嘏瞽.盬糓
钇,yaeii,3/-..钇.锜笖
鹪,jaiiao,1/|.焦.鹪僬.鷦
鞔,meiahn,2-|.蔓.鞔.鬘
缡,looih,2~~..蠡骊缡.盠
铯,saeeeh,4/-..穑铯.穯
鲚,jaoiih,4/~.祭.鲫鲚.鯚鯽鰿
組,zoouu,3~~.组..組
嘬,chiouaaih,4|~..踹嘬.
庹,tueuoo,3\-..庹.
渖,shuueen,3\\.审沈.渖.
湔,juuian,1\\..湔.
玎,deeing,1--..玎.
锜,yaeii,3/-..钇.锜笖
锊,laeueeh,4/-..锊.
舾,xaai,1//..舾.
籼,xuaian,1\/..籼.
阊,chuiang,1\|..阊.
祕,buoiih,4\~.必.裨.祕禆邲诐袐鴓
猊,naoih,2/~..猊鲵.
燹,xeaiaan,3-/..燹.
葑,feieng,1-|.封枫.葑.
蓼,leiiaao,3-|..蓼.
幛,zhioaahng,4|~.帐账.嶂幛.瞕
岣,giooou,3|~..岣.
浼,muueei,3\\..浼.
甯,nuuihng,2\\..甯.
瑷,eeaaih,4--..瑷.
敫,jaiiaao,3/|.侥.佼皎敫.
钔,maeehn,2/-..钔.
钫,faeang,1/-..钫.
锼,saeou,1/-..锼.
锿,aeai,1/-..锿.
癔,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
穸,xuui,1\\.惜溪汐.淅浠穸.窸鸂
褊,buoiaan,3\~.扁.褊.
蚍,pioih,2|~.啤毗.罴蚍蜱.
篦,baeiih,4/-..铋篦筚箅.篳
麇,jueun,1\-..麇.麕麏
樘,teiahng,2-|.塘搪.醣樘.
钯,baeaa,3/-..钯.
禇,chuouu,3\~..褚.禇
铒,aeeer,3/-..铒.
續,xoouuh,4~~.续绪..續緒
莩,feiuh,2-|.扶拂.芙苻茯菔莩桴.葍輻
嵯,ciouoh,2|~..嵯.
逭,huuuaahn,4\\.宦涣.浣逭漶.
遄,chiouahn,2|~..遄.
戗,qauiang,1/\..戗.鎗錆鏘鸧
睃,siouo,1|~.唆.嗦嗍睃.
鮈,jaou,1/~.狙..鮈臄
瀣,xuuieeh,4\\.泄懈泻.瀣渫.
皴,couun,1~\..皴.
泮,puuaahn,4\\..泮.
轫,reoeehn,4-~..轫.
褰,quuian,1\\..骞悭褰搴.騫
炱,touaih,2~\.台.邰炱.
醍,teiih,2-|.提.醍荑.趧騠蕛
锱,zaei,1/-..锱.镃
篁,haeuahng,2/-.簧.篁.锽
葚,reieehn,4-|..葚.靭靱軔
難,neiahn,2-|.南.楠.難
矇,mioeeng,3|~..蠓蜢.矇
驽,noauh,2~/.奴.驽孥.砮
辚,leoihn,2-~..辚.
睥,bioiih,4|~..跸哔畀睥髀.閉閟蜌罼赑
鸺,xaiiu,1/|.修休.鸺.鵂
筇,qaeiohng,2/-..筇.
戥,dioeeng,3|~..戥.
髀,bioiih,4|~..跸哔畀睥髀.閉閟蜌罼赑
驺,zooou,1~~..驺.緅
頸,jeoiing,3-~...頸
哙,kiouaaih,4|~..哙.
濞,buuiih,4\\.泌.愎濞滗.
逄,paoahng,2/~..逄.鳑鰟蠭
桤,qeii,1-|.期欺栖.萋桤.
攵,faeaan,3/-..攵.
炻,shuaih,2\/..炻.
磙,geauun,3-/..磙.
疳,guean,1\-..疳.
醭,beiuh,2-|..醭.
鳇,haouahng,2/~.凰.鳇.鰉
鹮,hiouahn,2|~..圜.鹮瞏
迓,yeoaah,4-~.轧.迓.
眇,mioiaao,3|~..淼眇.
楮,cheiuu,3-|.楚.杵楮.
砜,feaeng,1-/..砜.碸
謝,xueieeh,4\-..亵燮廨.謝
離,lueih,2\-.离..離謧
約,yooue,1~~.约..約
菘,seiong,1-|.松.菘.
馇,zhaoahh,5/~..馇.
栌,leiuh,2-|.芦.栌垆.蘆
醐,heiuh,2-|.胡壶葫.鹕槲觳醐.縠
唢,siouoo,3|~..唢.
獍,jaoiihng,4/~..胫獍.脛
殳,shaou,1/~..殳.
仡,yaiiih,4/|.亿.佚仡佾劓.鶃
軟,reiuaan,3-|...軟
刿,giouiih,4|~.贵跪.炅刿.貴瞆趹
葜,qeiia,1-|.掐.葜.
薅,heiao,1-|..蒿薅.
