的,daihe,5/|.的..
渚,zhuvu,3\\..渚.
轭,eoye,4-~..轭.
鹬,youyu,4~\.预豫.鹬.預遹矞翑
蚝,hiorao,2|~.嚎.嗥蚝.蠔
黃,heiruang,2-|.黄..黃葟
膘,baowiao,1/~.膘.飚飑.臕脿
邛,qeiriong,2-|..邛蛩跫茕.蛬藑赹
痨,luerao,2\-..痨.
褡,duowa,1\~..褡.
耦,evou,3--..耦.
覃,teiran,2-|.坛檀.覃.醰藫蕁
虛,xiewu,1|-.虚..虛虗
馔,zhaoyuan,4/~..馔.
篾,maeyie,4/-..篾.
兖,yuevan,3\-..兖.
阋,xuiyi,4\|..阋.
遨,erao,2--.熬敖.鳌遨螯獒聱.鰲鼇
爰,yauruan,2/\..爰.鈨鶢
痂,juewia,1\-..痂.麚
艄,shawao,1//..艄.
耨,neyou,4--..耨.
沤,uwou,1\\.沤..
邋,lowa,1~~..邋.
焓,huaran,2\/..焓.
秣,maeyo,4/-..秣镆.
昶,chuovang,3\~..昶.
種,zhaevong,3/-.种..種
變,bueyian,4\-.变辩辨辫卞..變辯
窣,suwu,1\\...窣
绦,towao,1~~.绦..縚縧
俎,zauvu,3/\..俎.
榫,seivun,3-|.损.榫.
蟪,hioyui,4|~.贿晦.喙蟪.翙賄
稗,baeyai,4/-.拜稗..
謇,juvian,3\\..謇蹇.
氩,yaeya,4/-..氩.
類,luayei,4\/.类..類
锴,kaevai,3/-..铠锴.
龉,yievu,3|-..龉.
烃,tuawing,1\/.烃..
俣,yaivu,3/|.禹.俣伛.與
嬷,moawa,1~/.妈.嬷.
肱,gaowong,1/~..觥肱.魟
鸢,yeowuan,1-~..鸢.鳶
笫,zaevi,3/-..笫秭.
痤,cueruo,2\-..痤.
陰,yoiwin,1~|.阴..陰陻
菏,heire,2-|.核荷菏.盍翮.鞨麧覈
莆,peiru,2-|.葡菩蒲莆..酺
芨,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
阕,quiyue,4\|..阕.
砣,tearuo,2-/..砣.砤
碜,cheaven,3-/..碜.磣
鼹,yaivan,3/|..俨偃鼹.
長,cheirang,2-|..苌.長
猷,yuarou,2\/..猷.
竽,yaeru,2/-..竽.
舸,gave,3//..舸.
诓,kuowuang,1\~..诓.
錾,zeoyan,4-~.暂.錾.
淬,cuyui,4\\.淬.悴.
隗,woivei,3~|..隗.
悌,tuyi,4\\.惕涕.悌.
姘,poawin,1~/..姘.
槭,qeiyi,4-|..槭葺.鼜
邈,mauviao,3/\..邈.
婕,joarie,2~/..婕.
歙,shauye,4/\.舍.歙.
稹,zhaeven,3/-..稹.
蹴,cioyu,4|~..蹴.
砒,peawi,1-/.砒.丕邳.
痈,yuewong,1\-.庸雍痈.饔壅.鄘
镏,laeriu,2/-..镏.
羯,juarie,2\/..羯.
豕,sheavi,3-/..豕.
鲂,faorang,2/~.肪.鲂.
蓖,beiyi,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
匦,gevui,3--..匦.
笤,taeriao,2/-..笤.
峥,zhioweng,1|~.睁.峥.
徭,yarao,2//..徭.
浃,juwia,1\\.家.浃.
烊,yuarang,2\/.羊.炀烊.鴹
補,buovu,3\~.补..補
窸,xuwi,1\\.惜溪汐.淅浠穸.窸鸂
酆,fieweng,1|-..酆.豐
缢,yoyi,4~~.绎.驿缢.絏
褓,buovao,3\~..褓.
蚨,fioru,2|~.幅.蝠蚨罘蜉幞.
翳,yeayi,4-/..翳殪.豷贀
趔,leiyie,4-|..趔鬣捩.鬛茢
炔,guayui,4\/.炔..
誊,tuareng,2\/.誊..
赜,zeire,2-|.择.赜.
仃,daiwing,1/|..仃.
勖,xioyu,4|~..煦勖.盢
葺,qeiyi,4-|..槭葺.鼜
蚴,yioyou,4|~..囿蚴.
泷,lurong,2\\.窿.泷.
蛴,qiori,2|~.崎畦.岐蛴蜞.跂蚑螧
結,jorie,2~~.结..結
媸,choawi,1~/..媸.
俳,pairai,2/|.牌.俳.
诖,guoyua,4\~.褂.诖.
茑,neiviao,3-|..茑.蔦
逡,qouwun,1~\..逡.
孱,coeyan,4~-..孱.
砦,zhieyai,4|-..砦.
跸,bioyi,4|~..跸哔畀睥髀.閉閟蜌罼赑
祜,huoyu,4\~.户.扈祜戽.
伉,kaiyang,4/|..伉.
溴,xuyiu,4\\..溴.
屐,joewi,1~-..屐.
飚,baowiao,1/~.膘.飚飑.臕脿
蛞,kioyuo,4|~..蛞.闊
鏡,jauying,4/\...鏡
掮,qeirian,2-|.乾.荨掮.葴軡
崆,kiowong,1|~..崆.
庾,yuevu,3\-..庾瘐.語
橛,jeirue,2-|.掘抉攫.蕨橛桷.蕝芵
矸,geawan,1-/..尴矸.
鸨,baovao,3/~.饱.鸨.
圻,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
缂,koye,4~~..缂骒.
蒯,keivuai,3-|..蒯.
诹,zuowou,1\~..诹.
啭,zhioyuan,4|~.赚.啭.
饧,taorang,2/~.膛.饧.
镉,gaere,2/-..镉搿.
鸪,geiwu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
蛩,qeiriong,2-|..邛蛩跫茕.蛬藑赹
蠖,hioyuo,4|~..蠖嚯.
說,shuewuo,1\-...說
劭,shoayao,4~/.邵.劭.
哐,kiowuang,1|~..哐.
崧,siowong,1|~..嵩崧.
杼,zheiyu,4-|.著柱.杼苎翥.苧駐
棂,leiring,2-|.菱.聆苓棂柃.醽
螫,sheiyi,4-|.事世士势誓逝拭柿.螫贳.
龃,jievu,3|-..龃.
饔,yuewong,1\-.庸雍痈.饔壅.鄘
遑,hairuang,2/|.皇.遑.
颢,hioyao,4|~.号.昊颢.號
腱,jaoyian,4/~.饯.腱.
襁,quoviang,3\~..襁.
忾,kuyai,4\\..忾.
濠,hurao,2\\..濠.
牝,paeyin,4/-..牝.
蛄,giowu,1|~.咕.呱蛄.
鲆,paoring,2/~..鲆.
嗄,iora,2|~..嗄.
灏,huyao,4\\.浩.灏.
疥,jueyie,4\-.疥..誡
苜,meiyu,4-|.木幕墓慕募暮.苜.
荞,qeiriao,2-|.桥.樵荞鞒.菬藮
嘣,bioweng,1|~.崩.嘣.
夤,yaorin,2/~..夤狺.
砝,feava,3-/..砝.
颞,neiyie,4-|.聂孽.颞蘖.菍糵顳苶聶
開,kiowai,1|~...開
忤,wuvu,3\\..忤怃.
遢,tiowa,1|~..遢趿.
旎,nuevi,3\-..旎.
瘛,chueyi,4\-..啻瘛.
魉,laiviang,3/|..魉.
辇,nevian,3--..辇.輦
見,jioyian,4|~.见践贱.踺.見踐瞷
瓤,ruerang,2\-.瓤..
荥,xeiring,2-|..荥.
涫,guyuan,4\\.惯灌.涫.
娌,loavi,3~/..娌.
氚,chaewuan,1/-..氚.
臁,laorian,2/~..臁鲢.
毂,geiwu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
碇,deaying,4-/..碇.碠磸
毖,beoyi,4-~.毕毙毖..
壅,yuewong,1\-.庸雍痈.饔壅.鄘
吡,biovi,3|~.鄙.吡.
缛,royu,4~~..缛.
玮,wevei,3--..玮.
羟,quaviang,3\/..羟.
還,hiorai,2|~.骸..還
珈,jewia,1--..珈.
颀,qari,2//..颀.艩
虼,gioye,4|~..虼.
祇,quori,2\~.祈祁.祺.祇禥
佝,gaiwou,1/|..佝.
翕,xauwi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
遴,luarin,2\/..粼遴.鄰粦
珏,jerue,2--..珏.
郛,fauru,2/\..孚郛.
較,jeiyiao,4-|.酵.醮.較轎藠
驗,yeiyan,4-|.燕堰.酽.驗醼
玖,jeviu,3--.玖..
蹇,juvian,3\\..謇蹇.
逋,beiwu,1-|..逋.鵏
氅,chiuvang,3|\.敞.氅.
粽,zuayong,4\/..粽.糉
诂,guovu,3\~..诂.
岢,kiove,3|~..岢.
聒,geiwuo,1-|..聒埚.
髁,kiowe,1|~.颗.瞌蝌嗑髁.顆趷
黍,shaevu,3/-.黍..籔
芾,feiyei,4-|..芾.蕡髴
淝,furei,2\\..淝.
鲎,huyou,4\\..鲎.
鞣,reirou,2-|.揉.鞣.葇
髋,kiowuan,1|~..髋.
闳,huirong,2\|..闳.
潆,yuring,2\\..瀛滢潆.
汨,muyi,4\\.密蜜.宓汨.
胍,gaowua,1/~..胍.
阏,uiye,4\|..阏.
钤,qaerian,2/-.钱钳.钤箝.
鹜,wouyu,4~\..骛鹜婺.鶩
鬈,qeiruan,2-|.权颧醛.荃鬈.葲顴
铵,aevan,3/-..铵.
戬,jeivian,3-|.检捡拣柬茧.戬枧.鬋醎
點,diovian,3|~.典.踮.點
崮,gioyu,4|~.固.崮.
枰,peiring,2-|.萍苹坪.枰.聠蓱
樯,qeiriang,2-|.墙蔷.樯.薔
脍,kaoyuai,4/~..脍狯.鲙
畲,shauwe,1/\..畲.
衾,qauwin,1/\..衾.
蹼,piovu,3|~.圃.蹼.
題,tiori,2|~.题蹄啼..題鶗
劬,qaoru,2/~..劬朐鸲.臒胊臞
咭,jiowi,1|~.畸.叽羁唧跻咭.踦羇羈
囫,hioru,2|~.蝴.囫.
洱,uver,3\\.洱..
刎,waoven,3/~..刎.脗
芏,deiyu,4-|.杜.蠹芏.
琊,yera,2--..琊.
碚,beayei,4-/..碚.
鳕,xaovue,3/~..鳕.
谪,zhuore,2\~..谪.袩
芎,xeiwiong,1-|..芎.
恂,xurun,2\\..洵浔恂.
槿,jeivin,3-|..槿堇.緊菫蓳
鲢,laorian,2/~..臁鲢.
鲧,gaovun,3/~..鲧.鮌鯀
嘧,mioyi,4|~..嘧.
绀,goyan,4~~..绀.紺
郦,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
噱,jiorue,2|~.嚼.崛蹶噱矍.躩
浠,xuwi,1\\.惜溪汐.淅浠穸.窸鸂
潸,shuwan,1\\..潸.
跏,jiowia,1|~..跏.
鲶,naorian,2/~..鲇鲶.鮎
矍,jiorue,2|~.嚼.崛蹶噱矍.躩
苌,cheirang,2-|..苌.長
抻,cheiwen,1-|.郴.抻.
琰,yevan,3--..琰.
鹚,cuari,2\/.慈.鹚糍.
龆,tieriao,2|-..龆.
臬,naiyie,4/|..臬.
芄,weiran,2-|..芄.
呔,tiovai,3|~..呔.
雒,laoyuo,4/~..雒.
觞,shaowang,1/~..觞.
钒,faeran,2/-.繁钒..緐笲
饫,yaoyu,4/~.狱.饫.
阒,quiyu,4\|..阒.
槎,cheira,2-|.查茶茬搽.楂槎檫.
鸩,zhuoyen,4\~..鸩.
舂,chewong,1--..舂.
谠,duovang,3\~..谠.
阡,qoiwian,1~|..阡.
莒,jeivu,3-|..榉莒.蒟
萸,yeiru,2-|.榆.揄萸.荢
妗,joayin,4~/..妗.
稔,raeven,3/-..稔.秹
穰,raerang,2/-..穰.
蚧,jioyie,4|~.界.蚧骱.蛶
餍,yeayan,4-/.厌雁砚.赝餍.顑饜贋
谯,quoriao,2\~..谯.
芗,xeiwiang,1-|.相.芗葙.蘘
菸,yeiwan,1-|.焉.菸鄢.醃
葩,peiwa,1-|..葩.
踔,chiowuo,1|~..踔.
厣,yeavan,3-/..魇厣.黡黶
佻,taiwiao,1/|..佻.
嘌,pioyiao,4|~..嘌.
饩,xaoyi,4/~.系.饩.
钏,chaeyuan,4/-..钏.
蠓,mioveng,3|~..蠓蜢.矇
黩,dioru,2|~..黩髑.
倨,jaiyu,4/|.俱.倨.
腸,chaorang,2/~.肠..腸鲿
缬,xorie,2~~..缬.綊
殚,deawan,1-/..殚.
钿,daeyian,4/-..钿簟.
鎏,luriu,2\\.流.浏鎏.
恁,nairin,2/|.您.恁.
藿,heiyuo,4-|.或获惑.藿.
囟,xaiyin,4/|.信衅.囟.舋
鄣,zhuewang,1\-.章彰.鄣.麞
呋,fiowu,1|~..趺呋跗.
婺,wouyu,4~\..骛鹜婺.鶩
绱,shoyang,4~~..绱.
瓯,eawou,1-/.欧殴鸥.瓯.
旃,zhuewan,1\-..旃.鹯邅譫鸇詀
锶,saewi,1/-.私.锶.
酩,meiving,3-|..酩.
恹,yuwan,1\\.淹.湮恹.
逶,waewei,1/-..逶.
缦,moyan,4~~..缦.
鸹,gaewua,1/-.刮.鸹.鴰
螟,mioring,2|~.明鸣螟.瞑暝.鳴眳眀
菟,teiru,2-|..荼菟酴.
阗,tuirian,2\|..阗.
濉,suwui,1\\..濉.
篑,kaeyui,4/-..篑.籄
醪,leirao,2-|.劳.醪.
鲛,jaowiao,1/~.胶.鲛.膠膲
讦,juorie,2\~..诘讦.
媪,oavao,3~/..媪.
邬,waowu,1/~.乌.邬.鰞
殇,sheawang,1-/..殇.
鄯,shuayan,4\/.善.鄯剡.
芡,qeiyian,4-|..茜芡.蒨
嫠,leri,2--.璃.嫠.釐
肼,jaoving,3/~..肼.
峤,jioyiao,4|~.叫.峤噍.覐
矽,xeawi,1-/.硒矽..豨礂
讧,huoyong,4\~..讧.
掼,geiyuan,4-|..鹳掼.雚
焖,muayen,4\/..焖.
愆,qawian,1//..愆.
聩,keiyui,4-|..匮聩蒉.聭聵
岘,xioyian,4|~.县.岘.県睍縣
靛,deyian,4--.靛.玷.
菖,cheiwang,1-|..菖.
卟,biovu,3|~..卟.
姒,soayi,4~/..姒.
杷,peira,2-|..杷.
砉,hewua,1--..砉.
袢,puoyan,4\~..袢襻.
蚋,rioyui,4|~..蚋.
笳,jaewia,1/-..笳镓.筴
挈,qeyie,4--..挈.
關,giowuan,1|~...關
踽,jiovu,3|~.咀.踽.
黾,miovian,3|~.冕.黾眄.
麼,muehe,5\-..麽.麼
侩,kaiyuai,4/|.侩..
凫,faoru,2/~.服.匐凫.鮄
诔,luovei,3\~..诔.
郯,tuaran,2\/..郯.
韪,wiovei,3|~..韪.骫骩蜼
挲,suwuo,1\\..娑挲.
笪,daera,2/-.答.笪.
鼋,yeruan,2--.元.鼋.黿
莜,yeirou,2-|..莜莸.輶莤蓧
風,faoweng,1/~.风..風
菅,jeiwian,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
嵊,shioyeng,4|~..嵊晟.
裢,luorian,2\~..裢.
趿,tiowa,1|~..遢趿.
箸,zhaeyu,4/-.筑铸.箸.築
莴,weiwo,1-|.挝.莴.萵
莠,yeivou,3-|.酉.莠.苃
阌,wuiren,2\|.闻.阌.
旯,liora,2|~..旯.
圜,hioruan,2|~..圜.鹮瞏
涪,furu,2\\.浮涪..
赍,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
柞,zheiya,4-|.榨柞..醡
嗍,siowuo,1|~.唆.嗦嗍睃.
囵,liorun,2|~..囵.
榧,feivei,3-|.菲匪.榧.蕜
裰,duowuo,1\~..裰.
笾,baewian,1/-..笾.箯
簟,daeyian,4/-..钿簟.
跎,tioruo,2|~..跎鼍.鼉
巽,xoeyun,4~-.迅.巽.
曷,hiore,2|~..曷.鶡鹖
逖,taoyi,4/~..逖.
骓,zhowui,1~~..骓.
绔,koyu,4~~..绔.
枋,feiwang,1-|.芳坊.枋.
镒,yaeyi,4/-..镒镱.
魃,baira,2/|..魃.鼥
餮,teayie,4-/..餮.
讵,juoyu,4\~..讵.
乜,mowie,1~~..乜.
鄢,yeiwan,1-|.焉.菸鄢.醃
瑭,terang,2--..瑭.
踅,cheiyi,4-|.赤翅.敕踅.趩鶒鷘
馓,saovan,3/~..馓.
蟛,pioreng,2|~..蟛.
鳟,zaowun,1/~..鳟.
荛,reirao,2-|..荛桡.
菬,qeiriao,2-|.桥.樵荞鞒.菬藮
忪,suwong,1\\..淞忪.
阍,huiwun,1\|..阍.
姹,choaya,4~/..姹.
纰,powi,1~~..纰.
桉,eiwan,1-|.鞍.桉.
氪,kaeye,4/-..氪锞.
氘,daewao,1/-..氘.
垅,leivong,3-|.拢.垅.
郃,xauria,2/\...郃鎋
汊,chuya,4\\..汊.
娉,poawing,1~/..娉.
纡,yowu,1~~..纡.
缟,govao,3~~..缟.縞
旮,gaowa,1/~..旮.
镢,jaerue,2/-..镢.穱
傈,laiyi,4/|.例俐傈.俪.
堋,peireng,2-|.彭蓬棚.堋.芃髼鬅
蔺,leiyin,4-|..蔺.藺轥
庥,xuewiu,1\-..庥.
枥,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
腭,aoye,4/~.饿.鳄腭.
鹕,heiru,2-|.胡壶葫.鹕槲觳醐.縠
笮,zaere,2/-..笮迮箦.
髂,qioyia,4|~..髂.
魍,waivang,3/|..魍.
缁,zowi,1~~..缁.
槊,shuayuo,4\/.烁朔.槊.
跞,lioyi,4|~..蛎詈跞唳呖.蠣
醚,meiri,2-|.醚.蘼.醿蒾醾
吒,zhioya,4|~..蚱咤吒.
枳,zheivi,3-|.指址.酯芷枳.茝藢
搿,gaere,2/-..镉搿.
鹧,zhueye,4\-.这.鹧.這
蜍,chioru,2|~.躇.蜍蹰.
舻,laru,2//..舻.艫
鏊,eyao,4--..鏊骜.驁
禳,ruorang,2\~..禳.
蒺,jeiri,2-|.极吉藉棘.楫蒺蕺.鞊趌
钹,baero,2/-.箔铂.钹.镈穛
蜢,mioveng,3|~..蠓蜢.矇
鬻,yoeyu,4~-..聿熨鬻肀.
珩,hereng,2--..珩.
卮,zhawi,1//..卮.
垭,yeiwa,1-|.押.桠垭.
苄,beiyian,4-|..苄.
苕,teiriao,2-|..苕髫.蓚蓨
菀,weivan,3-|.挽.菀.輓
骠,bowiao,1~~..骠.
袷,juoria,2\~..袷.
跹,xiowian,1|~..暹跹.
瘘,lueyou,4\-..瘘.
騔,geire,2-|.格革葛.鬲塥.騔轕
論,lueyun,4\-...論
磬,qeiying,4-|..罄磬.
缶,faevou,3/-..缶.缻
笸,paevo,3/-..笸钷.
鸷,zheiyi,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
頭,teirou,2-|.投..頭
芰,jeiyi,4-|.技蓟.髻芰荠.繫蟿繋驥
蕲,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
阆,luirang,2\|..阆.
纨,woran,2~~..纨.
琮,cerong,2--..琮.
牦,maerao,2/-.毛锚.牦.
砩,feayei,4-/..砩.
蠲,juawuan,1\/..蠲.
锒,laerang,2/-..锒稂.
锕,aewa,1/-..锕.
郓,yuoyun,4\~..郓.運
妯,zhoarou,2~/..妯.
驷,soyi,4~~..驷.
鹩,leariao,2-/..鹩.
舢,shawan,1//..舢.
趸,deovun,3-~..趸.
證,zhueyeng,4\-.症..證証
養,yuavang,3\/.养..養
芫,yeiruan,2-|.援袁垣.芫塬橼.薗
嗉,sioyu,4|~..嗉.
蠊,liorian,2|~..蠊.
笊,zhaeyao,4/-..笊.
莸,yeirou,2-|..莜莸.輶莤蓧
饴,yaori,2/~.疑胰.饴.迻
阃,kuivun,3\|..阃.
浯,wuru,2\\..浯.
枇,peiri,2-|..枇鼙芘埤.
焱,yuayan,4\/.焰.焱.
铆,maevao,3/-.铆..
擤,xeiving,3-|.醒.擤.
柢,deivi,3-|.抵.柢.菧聜軧
醢,heivai,3-|..醢.酼
呲,ciowi,1|~..呲.跐
崾,yiovao,3|~.咬.崾.闄
溆,xuyu,4\\.恤.溆洫.
潴,zhuwu,1\\..潴洙.
牖,yaivou,3/|..牖.脩
硪,weayo,4-/..硪.
碓,deayui,4-/..碓.
鹆,yauyu,4/\.欲愈.鹆.鋊鈺鐍錥
鬣,leiyie,4-|..趔鬣捩.鬛茢
堀,keiwu,1-|.枯.堀.
帙,zhioyi,4|~.置帜峙.蛭帙踬.跱
雱,peuwang,1-\...雱
須,xawu,1//.须..須
進,jaiyin,4/|...進
诎,quowu,1\~..祛诎.袪
獐,zhaowang,1/~..獐.
桁,heireng,2-|.横.桁蘅.
蛱,jioria,2|~..蛱.
鳏,gaowuan,1/~..鳏.
郴,cheiwen,1-|.郴.抻.
幂,muoyi,4\~.幂.谧.鼏
箝,qaerian,2/-.钱钳.钤箝.
僳,saiyu,4/|.僳..
疝,shueyan,4\-..疝.訕
茴,heirui,2-|..茴.
揶,yeire,2-|.耶.揶.
呦,yiowou,1|~.幽.呦.
嗌,ioyai,4|~.唉.暧嗌.賹
囹,lioring,2|~..蛉呤囹.跉
螈,yioruan,2|~.员园圆.螈.
脲,naoyiao,4/~..脲.
镊,naeyie,4/-.镍镊..
锑,taewi,1/-.锑..
胨,daoyong,4/~..胴胨.
膈,gaore,2/~..膈.
痼,gueyu,4\-..痼.
鳊,baowian,1/~..鳊.
赅,giowai,1|~..赅.賅
贽,zheiyi,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
處,chieyu,4|-...處
苤,peivie,3-|..苤.
峄,yioyi,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
桡,reirao,2-|..荛桡.
雎,jiowu,1|~..雎.踘跔罝
鲋,faoyu,4/~.负腹.鲋鳆.負
鞫,jeiwu,1-|.拘鞠.掬趄鞫苴椐.
鼬,yaiyou,4/|.佑.鼬侑.
獯,xaowun,1/~..獯.臐
昀,yiorun,2|~.郧.昀.眃
痍,yueri,2\-..痍.讉訑詒
蟊,mourao,2~\.矛.蟊蝥.
鞴,beiyei,4-|..蓓孛鞴.
疖,juewie,1\-..疖.
熘,luawiu,1\/..熘.
乇,taewuo,1/-..乇.
羸,luerei,2\-..羸.
嵴,jiori,2|~..岌嵴戢.蹐踖蝍
栀,zheiwi,1-|.支枝芝.栀.鳷
槲,heiru,2-|.胡壶葫.鹕槲觳醐.縠
炝,quayiang,4\/..炝.
炷,zhuayu,4\/..炷.羜
硐,deayong,4-/..硐.
锸,chaewa,1/-..锸.臿
鹂,leiri,2-|..藜鹂蓠.醨菞
裾,juowu,1\~..裾.
侪,chairai,2/|..侪.
診,zhueven,3\-.疹..診
調,dueyiao,4\-...調訋
珐,feya,4--.珐..
縯,yovin,3~~...縯
哔,bioyi,4|~..跸哔畀睥髀.閉閟蜌罼赑
屙,oewe,1~-..屙.
旆,pueyei,4\-..旆.
佰,baivai,3/|.佰..
僦,jaiyiu,4/|.舅臼.僦.
牯,gaevu,3/-..鹄钴牯.
钪,kaeyang,4/-..钪.
掾,yeiyuan,4-|.苑.掾垸.
針,zhauwen,1/\...針鉁鎭
仟,qaiwian,1/|.仟..
圮,peivi,3-|..圮擗.
芟,sheiwan,1-|.杉栅苫.芟埏.
崃,liorai,2|~..崃.
廪,luevin,3\-.凛.廪.
擘,boeyo,4~-..擘檗.
笱,gaevou,3/-..笱.
跗,fiowu,1|~..趺呋跗.
鲅,baoya,4/~..鲅.鲌鮊鮁
硷,jeavian,3-/.碱硷..蠒
苎,zheiyu,4-|.著柱.杼苎翥.苧駐
匏,pearao,2-/..匏.
嗾,siovou,3|~..嗾瞍.
圄,yiovu,3|~.屿.圄圉.蝺
彀,geiyou,4-|.构垢.彀.
粳,juawing,1\/.精粳..
卣,yievou,3|-..卣.
勐,moiveng,3~|..勐.
掴,geiruo,2-|..掴.聝
涑,suyu,4\\.宿溯.愫涑.
浞,zhuruo,2\\.浊.濯浞.
玳,deyai,4--..玳甙.
愍,moevin,3~-..愍.
畛,zhioven,3|~..畛.眕
赧,neivan,3-|..赧.
貉,haurao,2/\.貉..
擀,geivan,3-|.赶.橄擀.趕
湫,juviao,3\\..湫.
逦,leivi,3-|.李.醴逦.
椴,deiyuan,4-|..椴.葮
铄,shaeyuo,4/-..铄.
箧,qaeyie,4/-..锲箧.稧
刖,yaoyue,4/~.月.刖.
鲮,laoring,2/~..鲮.
訇,haowong,1/~..訇.
茱,zheiwu,1-|.株.茱槠.藷
啖,dioyan,4|~.旦.啖.贉
悭,quwian,1\\..骞悭褰搴.騫
愀,quviao,3\\..愀.
朐,qaoru,2/~..劬朐鸲.臒胊臞
畈,fioyan,4|~.贩.畈.販
鹨,louyiu,4~\..鹨.
蛘,yiorang,2|~..蛘.
佶,jairi,2/|.集.佶.
缃,xowiang,1~~.乡.骧缃.鄉纕緗
晟,shioyeng,4|~..嵊晟.
鲱,faowei,1/~..鲱.鯡
凼,dioyang,4|~..凼.逿
苴,jeiwu,1-|.拘鞠.掬趄鞫苴椐.
颛,zhiowuan,1|~..颛.顓耑
厍,sheaye,4-/..厍.
匚,feowang,1-~..匚.
徉,yarang,2//..徉.
洙,zhuwu,1\\..潴洙.
氡,daewong,1/-..氡.笗
胗,zhaowen,1/~..胗.鱵眞
癯,queru,2\-..癯.
鞒,qeiriao,2-|.桥.樵荞鞒.菬藮
锆,gaeyao,4/-.告.锆郜.
佤,waiva,3/|..佤.
錢,qaurian,2/\...錢鍼
飲,yauvin,3/\...飲飮釿
細,xoyi,4~~.细..細绤
勰,xoarie,2~/..勰.脅
钺,yaeyue,4/-..钺.籆
繇,yaurao,2/\.遥.肴爻繇.飖餆餚颻
螭,chiowi,1|~.吃.嗤哧螭眵.
嵬,wiorei,2|~.围唯.帷嵬帏.
轸,zheoven,3-~..轸.
肟,waoyo,4/~..肟.雘
肫,zhaowun,1/~..肫.
邨,ceowun,1-~...邨
瘿,yueving,3\-..瘿.
仞,raiyen,4/|.任.仞.
奁,learian,2-/..奁.
宄,guvui,3\\..宄.
轳,leoru,2-~..轳.
熳,muayan,4\/..熳.
睇,dioyi,4|~..睇.
钼,maeyu,4/-.牧穆.钼.
蝼,liorou,2|~..髅蝼.髏
跆,tiorai,2|~..跆.
樗,cheiwu,1-|..樗.
鲰,zaowou,1/~.邹.鲰.
節,jaewie,1/-.秸..節稭
诶,uowei,1\~..诶.
薜,beiyi,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
铧,haerua,2/-..铧.
裥,juovian,3\~..裥谫.
榇,cheiyen,4-|.趁.榇.
馃,gaovuo,3/~..猓.馃
術,shayu,4//...術
蹚,tiowang,1|~...蹚闛
怄,uyou,4\\..怄.
寤,wuyu,4\\.悟.鋈寤.
缗,morin,2~~..缗.
硗,qeawiao,1-/..硗.碻
碡,dearu,2-/..碡.
矬,caeruo,2/-..矬.
鸱,chaowi,1/~..鸱.鴟
虺,heawui,1-/.灰.虺.豗
糅,ruarou,2\/..糅.
雠,chairou,2/|.仇.俦雠.雔
帑,toavang,3~/..帑.
镧,laeran,2/-.篮.镧.籣
埙,xeiwun,1-|..薰醺埙.
啁,zhiowou,1|~..啁.赒
悒,yuyi,4\\.忆溢.悒怿.
犍,jaewian,1/-.笺.犍.篯钘箋
硌,geaye,4-/..硌.
锩,jaevuan,3/-..锩.
虿,cheoyai,4-~..虿.袃
蛑,miorou,2|~..眸蛑.
艉,wavei,3//..艉.
钅,jaewin,1/-.筋.钅.
咴,hiowui,1|~..晖咴.
筮,shaeyi,4/-.适.舐筮铈.籂
艏,shavou,3//..艏.
糁,suavan,3\/..糁.
鼍,tioruo,2|~..跎鼍.鼉
肄,yaoyi,4/~.逸臆肄..鮨
籴,dauri,2/\..籴.糴
骜,eyao,4--..鏊骜.驁
砻,learong,2-/.龙聋.砻.龓
蜮,yioyu,4|~.遇吁喻峪.昱蜮.閾
龀,chieyen,4|-..龀.
黢,qiowu,1|~.曲蛆.岖蛐黢.
劢,meoyai,4-~.迈.劢.
腫,zhaovong,3/~.肿..腫
耪,pevang,3--.耪..
鬯,chauyang,4/\..鬯.
畚,bouven,3~\..畚.
觳,heiru,2-|.胡壶葫.鹕槲觳醐.縠
稞,kaewe,1/-.科.稞钶.簻
鹁,beiro,2-|.博勃搏.鹁.茀駮豰
鲲,kaowun,1/~..鲲.臗
稱,chaeweng,1/-.称.铛.稱
捌,beiwa,1-|.扒芭捌..
菔,feiru,2-|.扶拂.芙苻茯菔莩桴.葍輻
獬,xaoyie,4/~.蟹.邂獬.
柘,zheiye,4-|.蔗.柘.
娆,roarao,2~/..娆.
篪,chaeri,2/-..篪.竾筂
鲀,taorun,2/~..豚饨.鲀
